Garrett Motion PE Ratio Historical Data,Garrett Motion PE Ratio Historical Data,Garrett Motion PE Ratio Historical Data,Garrett Motion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.2,,8.12
2024-06-30,8.59,$1.01,8.5
2024-03-31,9.94,$-1.15,0.0
2023-12-31,9.67,$-1.30,0.0
2023-09-30,7.88,$-1.29,0.0
2023-06-30,7.57,$-1.31,0.0
2023-03-31,7.66,$0.72,10.64
2022-12-31,7.62,$0.74,10.3
2022-09-30,5.65,$0.80,7.06
2022-06-30,7.73,$0.79,9.78
2022-03-31,7.19,$2.37,3.03
2021-12-31,8.03,$0.84,9.56
2021-09-30,7.37,$0.89,8.28
2021-06-30,7.98,$0.83,9.61
2021-03-31,2.01,$-1.02,0.0
2020-12-31,2.01,$1.04,1.93
2020-09-30,2.01,$2.49,0.81
2020-06-30,5.54,$2.85,1.94
2020-03-31,2.86,$3.83,0.75
2019-12-31,9.99,$4.12,2.42
2019-09-30,9.96,$2.90,3.43
