HSBC PE Ratio Historical Data,HSBC PE Ratio Historical Data,HSBC PE Ratio Historical Data,HSBC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.37,,10.69
2024-06-30,43.0,$4.15,10.36
2024-03-31,37.57,$6.75,5.57
2023-12-31,37.17,$4.53,8.21
2023-09-30,35.7,$5.23,6.83
2023-03-31,30.1,$4.63,6.5
2022-09-30,22.3,$2.98,7.48
2022-03-31,28.87,$2.85,10.13
2021-09-30,21.44,$2.90,7.39
2021-03-31,23.59,$3.10,7.61
2020-09-30,15.46,$3.10,4.99
2019-09-30,29.81,$3.50,8.52
2019-03-31,31.24,$3.50,8.92
2018-09-30,32.62,$3.25,10.04
2018-03-31,34.61,$1.20,28.84
2017-09-30,34.8,$0.30,116.0
2017-03-31,28.14,$0.15,187.6
2016-12-31,27.01,$0.35,77.17
2016-09-30,24.95,$1.05,23.76
2016-06-30,20.48,$1.65,12.41
2016-03-31,20.04,$2.30,8.71
2015-12-31,24.61,$2.40,10.25
2020-03-31,22.11,$4.10,5.39
2015-09-30,23.32,$3.75,6.22
2015-06-30,27.27,$3.65,7.47
2015-03-31,25.65,$3.70,6.93
2014-12-31,27.81,$3.75,7.42
2014-09-30,29.66,$4.35,6.82
2014-06-30,29.34,$4.00,7.33
2014-03-31,29.08,$3.85,7.55
2013-12-31,30.95,$4.15,7.46
2013-09-30,30.19,$4.25,7.1
2013-06-30,28.61,$4.10,6.98
2013-03-31,29.15,$4.70,6.2
2012-12-31,28.52,$3.70,7.71
2012-09-30,24.74,$2.90,8.53
2012-06-30,23.26,$4.10,5.67
2012-03-31,23.16,$2.50,9.26
2011-12-31,19.57,$2.95,6.63
2011-09-30,19.3,$2.95,6.54
2011-06-30,24.93,$1.10,22.66
2011-03-31,25.8,$1.10,23.46
2010-12-31,25.12,0,0.0
2010-09-30,24.71,0,0.0
