Vicor PE Ratio Historical Data,Vicor PE Ratio Historical Data,Vicor PE Ratio Historical Data,Vicor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.15,,69.75
2024-06-30,33.16,$0.59,56.2
2024-03-31,38.24,$1.00,38.24
2023-12-31,44.94,$1.19,37.76
2023-09-30,58.89,$1.18,49.91
2023-06-30,54.0,$0.99,54.55
2023-03-31,46.94,$0.85,55.22
2022-12-31,53.75,$0.71,75.7
2022-09-30,59.14,$0.73,81.01
2022-06-30,54.73,$0.84,65.15
2022-03-31,70.55,$1.03,68.5
2021-12-31,126.98,$1.26,100.78
2021-09-30,134.16,$1.31,102.41
2021-06-30,105.74,$1.15,91.95
2021-03-31,85.03,$0.78,109.01
2020-12-31,92.22,$0.40,230.55
2020-09-30,77.73,$0.18,431.83
2020-06-30,71.95,$0.19,378.68
2020-03-31,44.54,$0.19,234.42
2019-12-31,46.72,$0.33,141.58
2019-09-30,29.52,$0.47,62.81
2019-06-30,31.05,$0.65,47.77
2019-03-31,31.02,$0.78,39.77
2018-12-31,37.79,$0.78,48.45
2018-09-30,46.0,$0.65,70.77
2018-06-30,43.55,$0.33,131.97
2018-03-31,28.55,$0.13,219.62
2017-12-31,20.9,$0.01,2090.0
2017-09-30,23.6,$-0.10,0.0
2017-06-30,17.9,$-0.04,0.0
2017-03-31,16.1,$-0.04,0.0
2016-12-31,15.1,$-0.16,0.0
2016-09-30,11.6,$-0.14,0.0
2016-06-30,10.07,$-0.14,0.0
2016-03-31,10.48,$-0.11,0.0
2015-12-31,9.12,$0.12,76.0
2015-09-30,10.2,$0.17,60.0
2015-06-30,12.19,$0.01,0.0
2015-03-31,15.2,$-0.14,0.0
2014-12-31,12.1,$-0.37,0.0
2014-09-30,9.4,$-0.71,0.0
2014-06-30,8.38,$-0.63,0.0
2014-03-31,10.2,$-0.62,0.0
2013-12-31,13.42,$-0.60,0.0
2013-09-30,8.18,$-0.38,0.0
2013-06-30,6.85,$-0.36,0.0
2013-03-31,4.97,$-0.23,0.0
2012-12-31,5.42,$-0.10,0.0
2012-09-30,6.67,$0.04,166.75
2012-06-30,6.94,$0.07,99.14
2012-03-31,8.0,$0.13,61.54
2011-12-31,7.96,$0.22,36.18
2011-09-30,8.75,$0.46,19.02
2011-06-30,15.97,$0.81,19.71
2011-03-31,16.28,$0.85,19.16
2010-12-31,16.2,$0.80,20.24
2010-09-30,14.43,$0.60,24.05
2010-06-30,12.07,$0.26,46.44
2010-03-31,13.35,$0.18,74.17
2009-12-31,8.99,$0.07,128.43
