Penske Automotive PE Ratio Historical Data,Penske Automotive PE Ratio Historical Data,Penske Automotive PE Ratio Historical Data,Penske Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,158.43,,11.67
2024-06-30,148.06,$13.58,10.9
2024-03-31,159.97,$14.38,11.12
2023-12-31,157.6,$15.48,10.18
2023-09-30,163.16,$16.85,9.68
2023-06-30,162.04,$17.54,9.24
2023-03-31,137.25,$18.06,7.6
2022-12-31,110.75,$18.51,5.98
2022-09-30,94.38,$18.29,5.16
2022-06-30,99.92,$18.15,5.51
2022-03-31,89.04,$17.42,5.11
2021-12-31,101.4,$14.92,6.8
2021-09-30,94.74,$13.42,7.06
2021-06-30,70.73,$12.02,5.88
2021-03-31,74.8,$8.38,8.93
2020-12-31,55.0,$6.76,8.14
2020-09-30,43.82,$5.52,7.94
2020-06-30,35.59,$3.87,9.2
2020-03-31,25.74,$4.73,5.44
2019-12-31,45.81,$5.28,8.68
2019-09-30,42.78,$5.19,8.24
2019-06-30,42.42,$5.30,8.0
2019-03-31,39.69,$5.46,7.27
2018-12-31,35.52,$5.53,6.42
2018-09-30,41.41,$8.22,5.04
2018-06-30,40.65,$7.79,5.22
2018-03-31,38.19,$7.44,5.13
2017-12-31,40.93,$7.14,5.73
2017-09-30,40.4,$4.26,9.48
2017-06-30,37.01,$4.19,8.83
2017-03-31,39.17,$4.06,9.65
2016-12-31,43.13,$4.00,10.78
2016-09-30,39.82,$3.81,10.45
2016-06-30,25.82,$3.74,6.9
2016-03-31,30.87,$3.68,8.39
2015-12-31,34.19,$3.61,9.47
2015-09-30,38.92,$3.63,10.72
2015-06-30,41.68,$3.50,11.91
2015-03-31,41.0,$3.27,12.54
2014-12-31,38.91,$3.19,12.2
2014-09-30,32.04,$3.05,10.5
2014-06-30,38.91,$2.94,13.23
2014-03-31,33.47,$2.82,11.87
2013-12-31,36.75,$2.71,13.56
2013-09-30,33.16,$2.59,12.8
2013-06-30,23.6,$2.32,10.17
2013-03-31,25.66,$2.17,11.82
2012-12-31,23.04,$2.05,11.24
2012-09-30,22.94,$2.04,11.24
2012-06-30,16.11,$2.20,7.32
2012-03-31,18.61,$2.09,8.9
2011-12-31,14.48,$1.94,7.46
2011-09-30,11.98,$1.72,6.97
2011-06-30,16.95,$1.44,11.77
2011-03-31,14.88,$1.33,11.19
2010-12-31,12.94,$1.18,10.97
2010-09-30,9.81,$1.07,9.17
2010-06-30,8.44,$1.04,8.12
2010-03-31,10.72,$0.87,12.32
2009-12-31,11.28,$0.83,13.59
