National Health Investors PE Ratio Historical Data,National Health Investors PE Ratio Historical Data,National Health Investors PE Ratio Historical Data,National Health Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.54,,26.03
2024-06-30,67.0,$2.94,22.79
2024-03-31,61.34,$3.05,20.11
2023-12-31,53.74,$2.38,22.58
2023-09-30,48.65,$2.42,20.1
2023-06-30,48.79,$2.21,22.08
2022-12-31,46.96,$1.47,31.94
2022-09-30,49.97,$1.57,31.83
2022-06-30,52.72,$1.58,33.37
2022-03-31,50.58,$1.78,28.42
2021-12-31,48.53,$2.45,19.81
2023-03-31,47.2,$3.09,15.28
2021-09-30,44.47,$3.13,14.21
2021-06-30,54.83,$3.41,16.08
2021-03-31,58.31,$3.55,16.43
2020-12-31,54.97,$4.14,13.28
2020-09-30,47.15,$4.26,11.07
2020-06-30,46.65,$4.28,10.9
2020-03-31,37.36,$4.21,8.88
2019-12-31,60.21,$3.67,16.41
2019-09-30,60.11,$3.59,16.74
2019-06-30,56.22,$3.59,15.66
2019-03-31,55.83,$3.58,15.6
2018-12-31,52.99,$3.67,14.44
2018-09-30,52.33,$3.70,14.14
2018-06-30,50.33,$3.67,13.71
2018-03-31,45.36,$3.69,12.29
2017-12-31,50.07,$3.87,12.94
2017-09-30,50.7,$4.00,12.68
2017-06-30,51.33,$3.89,13.2
2017-03-31,46.51,$4.12,11.29
2016-12-31,46.88,$3.87,12.11
2016-09-30,49.0,$4.28,11.45
2016-06-30,46.36,$4.34,10.68
2016-03-31,40.58,$4.01,10.12
2015-12-31,36.64,$3.95,9.28
2015-09-30,34.13,$3.31,10.31
2015-06-30,36.45,$3.18,11.46
2015-03-31,40.99,$3.06,13.4
2014-12-31,39.91,$3.20,12.47
2014-06-30,34.84,$3.93,8.86
2014-03-31,33.26,$3.88,8.57
2013-12-31,30.47,$3.73,8.17
2013-09-30,30.5,$3.56,8.57
2013-06-30,31.69,$3.51,9.03
2013-03-31,34.21,$3.32,10.3
2014-09-30,32.24,$3.37,9.57
2012-12-31,29.13,$3.27,8.91
2012-09-30,26.19,$2.44,10.73
2012-06-30,25.6,$2.60,9.84
2012-03-31,24.21,$2.89,8.38
2011-12-31,21.54,$2.92,7.38
2011-09-30,20.23,$2.88,7.02
2011-06-30,21.03,$2.82,7.46
2011-03-31,22.37,$2.61,8.57
2010-12-31,20.74,$2.50,8.3
2010-09-30,20.03,$2.47,8.11
2010-06-30,17.3,$2.48,6.97
2010-03-31,17.14,$2.34,7.32
2009-12-31,16.11,$2.31,6.97
