Paylocity Holding PE Ratio Historical Data,Paylocity Holding PE Ratio Historical Data,Paylocity Holding PE Ratio Historical Data,Paylocity Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,170.28,,46.78
2024-06-30,131.85,$3.64,36.22
2024-03-31,171.86,$3.44,49.96
2023-12-31,164.85,$2.96,55.69
2023-09-30,181.7,$2.57,70.7
2023-06-30,184.53,$2.50,73.81
2023-03-31,198.78,$2.11,94.21
2022-12-31,194.26,$1.71,113.6
2022-09-30,241.58,$1.60,150.99
2022-06-30,174.42,$1.61,108.34
2022-03-31,205.77,$1.55,132.75
2021-12-31,236.16,$1.58,149.47
2021-09-30,280.4,$1.58,177.47
2021-06-30,190.8,$1.25,152.64
2021-03-31,179.83,$1.13,159.14
2020-12-31,205.91,$1.20,171.59
2020-09-30,161.42,$1.13,142.85
2020-06-30,145.89,$1.16,125.77
2020-03-31,88.32,$1.25,70.66
2019-12-31,120.82,$1.04,116.17
2019-09-30,97.58,$1.04,93.83
2019-06-30,93.82,$0.97,96.72
2019-03-31,89.19,$0.76,117.36
2018-12-31,60.21,$0.96,62.72
2018-09-30,80.32,$0.87,92.32
2018-06-30,58.86,$0.70,84.09
2018-03-31,51.23,$0.66,77.62
2017-12-31,47.16,$0.22,214.36
2017-09-30,48.82,$0.18,271.22
2017-06-30,45.18,$0.12,376.5
2017-03-31,38.63,$0.08,482.88
2016-12-31,30.01,$-0.07,0.0
2016-09-30,44.46,$-0.06,0.0
2016-06-30,43.2,$-0.08,0.0
2016-03-31,32.74,$-0.06,0.0
2015-12-31,40.55,$-0.15,0.0
2015-09-30,29.99,$-0.26,0.0
2015-06-30,35.85,$-0.29,0.0
2015-03-31,28.64,$-0.34,0.0
2014-12-31,26.11,$-0.36,0.0
