Roivant Sciences PE Ratio Historical Data,Roivant Sciences PE Ratio Historical Data,Roivant Sciences PE Ratio Historical Data,Roivant Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.91,,2.14
2024-06-30,10.57,$5.56,1.9
2024-03-31,10.54,$5.06,2.08
2023-12-31,11.23,$5.20,2.16
2023-09-30,11.68,$-1.32,0.0
2023-06-30,10.08,$-1.34,0.0
2023-03-31,7.38,$-1.44,0.0
2022-12-31,7.99,$-1.78,0.0
2022-09-30,3.22,$-1.70,0.0
2022-06-30,4.07,$-1.60,0.0
2022-03-31,4.94,$-1.49,0.0
2021-12-31,10.08,$-1.10,0.0
2021-09-30,9.35,$-0.69,0.0
