Albertsons PE Ratio Historical Data,Albertsons PE Ratio Historical Data,Albertsons PE Ratio Historical Data,Albertsons PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.43,,12.62
2024-08-31,19.62,$1.46,13.44
2024-05-31,20.64,$1.92,10.75
2024-02-29,20.28,$2.23,9.09
2023-11-30,21.77,$2.34,9.3
2023-08-31,22.4,$1.92,11.67
2023-05-31,20.36,$2.05,9.93
2023-02-28,19.88,$2.17,9.16
2022-11-30,20.95,$2.42,8.66
2022-08-31,27.51,$2.96,9.29
2022-05-31,30.41,$2.89,10.52
2022-02-28,28.91,$2.83,10.22
2021-11-30,34.75,$1.67,20.81
2021-08-31,29.86,$1.13,26.42
2021-05-31,18.78,$1.10,17.07
