Uxin PE Ratio Historical Data,Uxin PE Ratio Historical Data,Uxin PE Ratio Historical Data,Uxin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.72,,0.0
2024-06-30,2.06,$-29.29,0.0
2024-03-31,2.12,$-31.95,0.0
2023-12-31,7.01,$-16.53,0.0
2023-09-30,16.3,$-17.30,0.0
2023-06-30,16.4,$-11.90,0.0
2023-03-31,22.4,$-6.20,0.0
2022-12-31,28.8,$-4.70,0.0
2022-09-30,60.0,$-2.60,0.0
2022-06-30,42.0,$-74.00,0.0
2022-03-31,102.0,$-80.00,0.0
2021-12-31,158.0,$-81.00,0.0
2021-09-30,276.0,$-86.00,0.0
2021-06-30,385.0,$-23.00,0.0
2021-03-31,117.0,$-14.00,0.0
2020-12-31,87.25,$-130.00,0.0
2020-09-30,86.97,$-136.00,0.0
2020-06-30,143.0,$-142.00,0.0
2020-03-31,154.0,$-163.00,0.0
2019-09-30,245.0,$-75.00,0.0
2019-06-30,220.0,$-66.00,0.0
