Synovus Financial PE Ratio Historical Data,Synovus Financial PE Ratio Historical Data,Synovus Financial PE Ratio Historical Data,Synovus Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.85,,49.37
2024-09-30,44.47,$1.03,43.17
2024-06-30,39.86,$1.63,24.45
2024-03-31,39.32,$2.92,13.47
2023-12-31,36.6,$3.46,10.58
2023-09-30,26.75,$4.40,6.08
2023-06-30,28.72,$5.13,5.6
2023-03-31,28.91,$5.16,5.6
2022-12-31,34.76,$4.95,7.02
2022-09-30,34.41,$4.91,7.01
2022-06-30,32.79,$4.79,6.85
2022-03-31,44.16,$4.82,9.16
2021-12-31,42.85,$4.90,8.75
2021-09-30,39.02,$4.55,8.58
2021-06-30,38.69,$3.90,9.92
2021-03-31,40.06,$3.28,12.21
2020-12-31,28.15,$2.29,12.29
2020-09-30,18.23,$2.30,7.93
2020-06-30,17.42,$2.57,6.78
2020-03-31,14.68,$2.96,4.96
2019-12-31,31.94,$3.48,9.18
2019-09-30,28.91,$3.38,8.55
2019-06-30,28.07,$3.39,8.28
2019-03-31,27.31,$3.34,8.18
2018-12-31,25.22,$3.46,7.29
2018-09-30,35.81,$2.82,12.7
2018-06-30,41.1,$2.76,14.89
2018-03-31,38.68,$2.45,15.79
2017-12-31,36.95,$2.15,17.19
2017-09-30,35.4,$2.43,14.57
2017-06-30,33.88,$2.11,16.06
2016-12-31,31.24,$1.90,16.44
2016-09-30,24.67,$1.79,13.78
2016-06-30,21.9,$1.70,12.88
2016-03-31,21.75,$1.64,13.26
2015-12-31,24.26,$1.63,14.89
2015-09-30,22.1,$1.57,14.07
2015-06-30,22.93,$1.47,15.6
2015-03-31,20.78,$1.39,14.95
2014-12-31,20.02,$1.29,15.52
2014-09-30,17.4,$1.20,14.51
2014-06-30,17.9,$1.09,16.42
2013-12-31,18.39,$0.91,20.22
2013-09-30,16.81,$6.09,2.76
2013-06-30,14.83,$6.16,2.41
2013-03-31,14.02,$6.09,2.3
2012-12-31,12.36,$6.16,2.01
2014-03-31,17.37,$0.84,20.69
2012-09-30,11.9,$0.56,21.26
2012-06-30,9.9,$0.56,17.68
2012-03-31,10.19,$-0.14,0.0
2011-12-31,6.97,$-1.12,0.0
2011-09-30,5.25,$-2.80,0.0
2011-06-30,10.14,$-4.69,0.0
2011-03-31,11.64,$-6.72,0.0
2010-12-31,12.75,$-9.17,0.0
2010-09-30,11.84,$-11.34,0.0
2010-06-30,12.17,$-18.47,0.0
2010-03-31,15.71,$-28.69,0.0
2009-12-31,9.76,$-28.62,0.0
2009-09-30,17.76,$-24.28,0.0
