Acadia Realty Trust PE Ratio Historical Data,Acadia Realty Trust PE Ratio Historical Data,Acadia Realty Trust PE Ratio Historical Data,Acadia Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.45,,0.0
2024-06-30,17.78,$-0.00,0.0
2024-03-31,16.71,$0.08,208.82
2023-12-31,16.51,$0.19,86.88
2023-09-30,13.8,$0.25,55.2
2023-06-30,13.67,$-0.34,0.0
2023-03-31,13.09,$-0.43,0.0
2022-12-31,13.28,$-0.39,0.0
2022-09-30,11.54,$-0.40,0.0
2022-06-30,14.08,$0.34,41.41
2022-03-31,19.31,$0.38,50.82
2021-12-31,19.3,$0.26,74.21
2021-09-30,17.92,$0.11,162.88
2021-06-30,19.14,$-0.12,0.0
2021-03-31,16.42,$0.06,273.71
2020-12-31,12.19,$-0.10,0.0
2020-09-30,9.02,$0.26,34.69
2020-06-30,11.15,$0.48,23.23
2020-03-31,10.64,$0.37,28.77
2019-12-31,21.76,$0.62,35.1
2019-09-30,23.72,$0.47,50.47
2019-06-30,22.5,$0.46,48.9
2019-03-31,22.19,$0.44,50.42
2018-12-31,19.14,$0.38,50.36
2018-09-30,22.32,$0.54,41.33
2018-06-30,21.58,$0.58,37.2
2018-03-31,19.21,$0.63,30.48
2017-12-31,21.13,$0.78,27.09
2017-09-30,21.89,$0.61,35.88
2017-06-30,21.07,$0.70,30.1
2016-12-31,24.33,$0.96,25.34
2016-09-30,26.63,$0.85,31.34
2016-06-30,25.93,$0.97,26.73
2016-03-31,25.46,$1.11,22.94
2015-12-31,23.85,$0.95,25.11
2015-09-30,21.32,$0.97,21.98
2015-06-30,20.47,$1.24,16.51
2015-03-31,24.34,$1.05,23.18
2014-12-31,22.19,$1.19,18.65
2014-09-30,18.8,$1.26,14.92
2014-06-30,18.99,$0.96,19.78
2014-03-31,17.69,$0.93,19.02
2013-12-31,16.5,$0.73,22.61
2013-09-30,16.25,$0.93,17.48
2013-06-30,16.12,$0.92,17.53
2013-03-31,17.98,$0.91,19.76
2012-12-31,16.12,$0.82,19.66
2012-09-30,15.84,$0.59,26.84
2012-06-30,14.68,$0.53,27.71
2012-03-31,14.17,$1.12,12.65
2011-12-31,12.46,$1.26,9.89
2011-09-30,11.46,$1.24,9.24
2011-06-30,12.34,$1.27,9.72
2011-03-31,11.39,$0.85,13.4
2010-12-31,10.87,$0.75,14.5
2010-09-30,11.21,$0.74,15.15
2010-06-30,9.83,$0.79,12.45
2010-03-31,10.33,$0.65,15.9
2009-12-31,9.66,$0.82,11.78
2009-09-30,8.54,$0.84,10.17
