10x Genomics PE Ratio Historical Data,10x Genomics PE Ratio Historical Data,10x Genomics PE Ratio Historical Data,10x Genomics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.86,,0.0
2024-06-30,19.45,$-2.02,0.0
2024-03-31,37.53,$-2.23,0.0
2023-12-31,55.96,$-2.17,0.0
2023-09-30,41.25,$-1.91,0.0
2023-06-30,55.84,$-1.49,0.0
2023-03-31,55.79,$-1.53,0.0
2022-12-31,36.44,$-1.47,0.0
2022-09-30,28.48,$-1.48,0.0
2022-06-30,45.25,$-1.26,0.0
2022-03-31,76.07,$-0.79,0.0
2021-12-31,148.96,$-0.52,0.0
2021-09-30,145.58,$-4.23,0.0
2021-06-30,195.82,$-4.73,0.0
2021-03-31,181.0,$-5.04,0.0
2020-12-31,141.6,$-5.15,0.0
2020-09-30,124.68,$-1.35,0.0
2020-06-30,89.31,$-1.03,0.0
