Foot Locker PE Ratio Historical Data,Foot Locker PE Ratio Historical Data,Foot Locker PE Ratio Historical Data,Foot Locker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.69,,0.0
2024-07-31,29.06,$-3.87,0.0
2024-04-30,20.85,$-3.79,0.0
2024-01-31,28.16,$-3.50,0.0
2023-10-31,20.99,$0.83,25.29
2023-07-31,26.36,$1.54,17.12
2023-04-30,40.57,$2.58,15.72
2023-01-31,41.62,$3.57,11.66
2022-10-31,30.01,$4.39,6.84
2022-07-31,26.53,$4.90,5.41
2022-04-30,26.96,$8.00,3.37
2022-01-31,40.56,$8.56,4.74
2021-10-31,42.98,$8.71,4.93
2021-07-31,51.12,$9.71,5.26
2021-04-30,52.66,$6.05,8.7
2021-01-31,38.99,$3.19,12.22
2020-10-31,32.71,$3.36,9.74
2020-07-31,25.97,$2.00,12.98
2020-04-30,22.64,$2.12,10.68
2020-01-31,32.94,$4.57,7.21
2019-10-31,37.39,$4.62,8.09
2019-07-31,34.98,$4.60,7.6
2019-04-30,48.3,$4.80,10.06
2019-01-31,46.91,$4.66,10.07
2018-10-31,39.33,$2.87,13.7
2018-07-31,40.43,$2.54,15.92
2018-04-30,35.46,$2.18,16.26
2018-01-31,40.12,$2.16,18.57
2017-10-31,24.4,$3.98,6.13
2017-07-31,37.9,$4.34,8.73
2017-04-30,61.72,$4.89,12.62
2017-01-31,54.47,$4.92,11.07
2016-10-31,52.85,$4.64,11.39
2016-07-31,47.01,$4.04,11.64
2016-04-30,48.21,$3.94,12.24
2016-01-31,52.78,$3.56,14.83
2015-10-31,52.72,$3.24,16.27
2015-07-31,54.7,$3.30,16.57
2015-01-31,40.94,$3.56,11.5
2014-10-31,42.91,$3.36,12.77
2014-07-31,36.27,$3.83,9.47
2014-04-30,35.34,$3.90,9.06
2014-01-31,29.17,$3.24,9.0
2015-04-30,45.92,$3.33,13.79
2013-10-31,26.1,$2.72,9.59
2013-07-31,27.01,$2.71,9.97
2013-04-30,25.92,$2.66,9.75
2013-01-31,25.38,$2.59,9.8
2012-10-31,24.62,$2.44,10.09
2012-07-31,24.15,$2.18,11.08
2012-04-30,22.24,$2.03,10.96
2012-01-31,18.97,$1.80,10.54
2011-10-31,15.7,$1.63,9.63
2011-07-31,15.48,$1.53,10.12
2011-04-30,15.23,$1.33,11.45
2011-01-31,12.54,$1.07,11.72
2010-10-31,11.09,$0.86,12.9
2010-07-31,9.37,$0.49,19.13
2010-04-30,10.47,$0.45,23.27
2010-01-31,7.63,$0.31,24.6
2009-10-31,7.0,$-0.66,0.0
