Marten Transport PE Ratio Historical Data,Marten Transport PE Ratio Historical Data,Marten Transport PE Ratio Historical Data,Marten Transport PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.69,,30.91
2024-06-30,18.39,$0.54,34.05
2024-03-31,18.35,$0.71,25.85
2023-12-31,20.77,$0.87,23.87
2023-09-30,19.45,$1.03,18.89
2023-06-30,21.16,$1.18,17.93
2023-03-31,20.56,$1.30,15.82
2022-12-31,19.36,$1.35,14.34
2022-09-30,18.7,$1.34,13.95
2022-06-30,16.36,$1.28,12.78
2022-03-31,17.22,$1.15,14.97
2021-12-31,16.59,$1.04,15.95
2021-09-30,15.13,$0.98,15.44
2021-06-30,15.35,$0.94,16.33
2021-03-31,15.76,$0.90,17.51
2020-12-31,15.97,$0.85,18.86
2020-09-30,14.67,$0.80,18.34
2020-06-30,15.05,$0.78,19.29
2020-03-31,12.25,$0.75,16.41
2019-12-31,12.8,$0.75,17.14
2019-09-30,12.36,$0.75,16.55
2019-06-30,10.41,$0.73,14.19
2019-03-31,10.21,$0.71,14.31
2018-12-31,9.25,$0.67,13.74
2018-09-30,12.03,$1.27,9.5
2018-06-30,13.39,$1.17,11.41
2018-03-31,13.0,$1.12,11.61
2017-12-31,11.57,$1.09,10.58
2017-09-30,11.69,$0.41,28.76
2017-06-30,9.34,$0.42,22.39
2017-03-31,7.99,$0.41,19.58
2016-12-31,7.93,$0.41,19.43
2016-09-30,7.14,$0.41,17.33
2016-06-30,6.72,$0.41,16.48
2016-03-31,6.35,$0.40,15.71
2015-12-31,5.99,$0.42,14.14
2015-09-30,5.47,$0.43,12.78
2015-06-30,7.33,$0.42,17.45
2015-03-31,7.83,$0.42,18.81
2014-12-31,7.37,$0.36,20.46
2014-09-30,5.99,$0.34,17.63
2014-06-30,7.51,$0.34,21.84
2014-03-31,7.23,$0.34,21.25
2013-12-31,6.77,$0.36,18.74
2013-09-30,5.75,$0.37,15.68
2013-06-30,5.24,$0.35,15.06
2013-03-31,4.48,$0.35,12.94
2012-12-31,4.09,$0.33,12.47
2012-09-30,3.75,$0.33,11.42
2012-06-30,4.53,$0.33,13.8
2012-03-31,4.69,$0.31,15.05
2011-12-31,3.82,$0.30,12.91
2011-09-30,3.66,$0.27,13.72
2011-06-30,4.58,$0.26,17.88
2011-03-31,4.72,$0.24,19.47
2010-12-31,4.53,$0.24,18.85
2010-09-30,4.9,$0.23,21.62
2010-06-30,4.39,$0.20,21.66
2010-03-31,4.16,$0.19,21.38
2009-12-31,3.79,$0.19,19.48
