NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,120.72,,30.56
2024-07-31,126.98,$3.95,32.15
2024-04-30,101.8,$4.64,21.94
2024-01-31,86.44,$4.40,19.64
2023-10-31,71.73,$3.22,22.28
2023-07-31,76.38,$5.53,13.81
2023-04-30,61.17,$5.80,10.55
2023-01-31,63.91,$5.81,11.0
2022-10-31,66.3,$6.61,10.03
2022-07-31,67.77,$4.18,16.21
2022-04-30,69.06,$4.10,16.84
2022-01-31,81.05,$4.42,18.34
2021-10-31,83.21,$4.12,20.2
2021-07-31,73.76,$3.75,19.67
2021-04-30,68.8,$3.22,21.37
2021-01-31,60.8,$2.64,23.03
2020-10-31,39.87,$3.05,13.07
2020-07-31,39.83,$3.47,11.48
2020-04-30,38.91,$3.54,10.99
2020-01-31,46.91,$4.25,11.04
2019-10-31,48.71,$4.02,12.12
2019-07-31,50.52,$3.90,12.95
2019-04-30,62.44,$4.53,13.78
2019-01-31,54.35,$3.93,13.83
2018-10-31,66.43,$1.06,62.67
2018-07-31,65.3,$0.79,82.66
2018-04-30,55.8,$0.23,242.61
2018-01-31,51.38,$-0.08,0.0
2017-10-31,36.98,$2.33,15.87
2017-07-31,35.99,$2.07,17.39
2017-04-30,32.86,$1.81,18.16
2017-01-31,31.46,$1.10,28.6
2016-10-31,27.71,$1.10,25.19
2016-07-31,21.4,$1.11,19.28
2016-04-30,19.05,$0.78,24.43
2016-01-31,17.56,$1.24,14.16
2015-10-31,27.02,$1.28,21.11
2015-07-31,24.62,$1.38,17.84
2015-04-30,28.48,$1.75,16.27
2015-01-31,29.56,$1.91,15.48
2014-10-31,33.33,$1.90,17.54
2014-07-31,30.13,$1.89,15.94
2014-04-30,27.5,$2.09,13.16
2014-01-31,32.56,$1.93,16.87
2013-10-31,29.74,$1.68,17.7
2013-04-30,26.53,$1.37,19.37
2013-01-31,27.38,$1.37,19.98
2012-10-31,20.46,$1.17,17.49
2012-07-31,24.85,$1.19,20.88
2012-04-30,29.53,$1.46,20.22
2013-07-31,31.39,$1.33,23.6
2012-01-31,28.7,$1.50,19.13
2011-10-31,31.15,$1.60,19.47
2011-07-31,36.14,$1.54,23.47
2011-04-30,39.63,$1.60,24.77
2011-01-31,41.62,$1.50,27.75
2010-07-31,32.17,$1.35,23.83
2010-04-30,26.37,$1.12,23.54
2010-01-31,22.15,$0.95,23.32
2009-10-31,20.57,$1.07,19.23
2009-07-31,17.08,$0.57,29.97
