Amphastar Pharmaceuticals PE Ratio Historical Data,Amphastar Pharmaceuticals PE Ratio Historical Data,Amphastar Pharmaceuticals PE Ratio Historical Data,Amphastar Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.71,,15.88
2024-06-30,40.0,$3.13,12.78
2024-03-31,43.91,$2.89,15.19
2023-12-31,61.85,$2.58,23.97
2023-09-30,45.99,$2.56,17.96
2023-06-30,57.47,$1.95,29.47
2023-03-31,37.5,$1.79,20.95
2022-12-31,28.02,$1.76,15.92
2022-09-30,28.1,$1.49,18.86
2022-06-30,34.79,$1.78,19.54
2022-03-31,35.9,$1.61,22.3
2021-12-31,23.29,$1.24,18.78
2021-09-30,19.01,$0.72,26.4
2021-06-30,20.16,$0.21,96.0
2021-03-31,18.32,$0.05,366.4
2020-12-31,20.11,$0.03,670.33
2020-09-30,18.75,$0.14,133.93
2020-06-30,22.46,$0.09,249.56
2020-03-31,14.84,$1.05,14.13
2019-12-31,19.29,$0.99,19.48
2019-09-30,19.83,$1.05,18.89
2019-06-30,21.11,$1.07,19.73
2019-03-31,20.43,$0.05,408.6
2018-12-31,19.9,$-0.13,0.0
2018-09-30,19.24,$-0.14,0.0
2018-06-30,15.26,$-0.19,0.0
2018-03-31,18.75,$-0.09,0.0
2017-12-31,19.24,$0.09,213.78
2017-09-30,17.87,$0.00,0.0
2017-06-30,17.86,$0.08,223.25
2017-03-31,14.5,$0.19,76.32
2016-12-31,18.42,$0.22,83.73
2016-09-30,18.97,$0.44,43.11
2016-06-30,16.12,$0.29,55.59
2016-03-31,12.0,$-0.01,0.0
2015-12-31,14.23,$-0.07,0.0
2015-09-30,11.69,$-0.29,0.0
2015-06-30,17.58,$-0.34,0.0
2015-03-31,14.96,$-0.22,0.0
