Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,449.44,,15.4
2024-06-30,425.58,$29.19,14.58
2024-03-31,435.25,$29.38,14.81
2023-12-31,375.78,$23.71,15.85
2023-09-30,324.86,$24.57,13.22
2023-06-30,326.03,$21.29,15.31
2023-03-31,299.45,$19.69,15.21
2022-12-31,303.12,$22.45,13.5
2022-09-30,244.3,$23.98,10.19
2022-06-30,229.4,$27.77,8.26
2022-03-31,288.55,$26.04,11.08
2021-12-31,288.76,$23.07,12.52
2021-09-30,251.89,$18.54,13.59
2021-06-30,236.35,$8.75,27.01
2021-03-31,219.82,$-0.44,0.0
2020-12-31,182.88,$-0.49,0.0
2020-09-30,144.15,$2.12,67.99
2020-06-30,139.43,$6.83,20.41
2019-12-31,152.67,$13.96,10.94
2019-09-30,133.96,$14.19,9.44
2019-06-30,131.26,$26.03,5.04
2019-03-31,115.83,$25.89,4.47
2018-12-31,93.71,$26.17,3.58
2020-03-31,94.43,$26.32,3.59
2018-09-30,131.64,$11.62,11.33
2018-06-30,123.91,$11.43,10.84
2018-03-31,130.18,$10.83,12.02
2017-12-31,148.35,$9.44,15.72
2017-09-30,129.33,$10.72,12.06
2017-06-30,110.23,$8.78,12.55
2017-03-31,111.57,$8.25,13.52
2016-12-31,94.88,$7.82,12.13
2016-09-30,84.6,$7.36,11.49
2016-06-30,75.58,$8.23,9.18
2016-03-31,78.45,$8.49,9.24
2015-12-31,88.07,$8.48,10.39
2015-09-30,89.79,$8.70,10.32
2015-06-30,102.25,$8.70,11.75
2015-03-31,106.52,$8.38,12.71
2014-12-31,107.2,$8.31,12.9
2014-09-30,99.56,$7.55,13.19
2014-06-30,96.35,$7.24,13.31
2014-03-31,87.92,$6.87,12.8
2013-12-31,91.46,$6.44,14.2
2013-09-30,72.03,$6.79,10.61
2013-06-30,63.6,$5.72,11.12
2013-03-31,57.51,$5.17,11.12
2012-12-31,48.57,$4.64,10.47
2012-09-30,43.64,$3.91,11.16
2012-06-30,39.95,$4.25,9.4
2012-03-31,43.39,$4.49,9.66
2011-12-31,37.51,$4.38,8.56
2011-09-30,29.59,$4.48,6.61
2011-06-30,43.17,$4.67,9.24
2011-03-31,45.54,$4.42,10.3
2010-12-31,42.78,$4.29,9.97
2010-09-30,35.07,$4.01,8.75
2010-06-30,26.66,$3.69,7.22
2010-03-31,33.34,$3.12,10.69
2009-12-31,28.41,$2.89,9.83
