Dream Finders Homes PE Ratio Historical Data,Dream Finders Homes PE Ratio Historical Data,Dream Finders Homes PE Ratio Historical Data,Dream Finders Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.75,,10.85
2024-06-30,25.82,$3.11,8.3
2024-03-31,43.73,$2.95,14.82
2023-12-31,35.53,$2.85,12.47
2023-09-30,22.23,$2.63,8.45
2023-06-30,24.59,$2.52,9.76
2023-03-31,13.25,$2.47,5.36
2022-12-31,8.66,$2.44,3.55
2022-09-30,10.6,$2.21,4.8
2022-06-30,10.64,$1.77,6.01
2022-03-31,17.08,$1.48,11.54
2021-12-31,19.45,$1.24,15.69
