Otter Tail PE Ratio Historical Data,Otter Tail PE Ratio Historical Data,Otter Tail PE Ratio Historical Data,Otter Tail PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.51,,10.74
2024-06-30,87.13,$7.40,11.77
2024-03-31,85.51,$7.28,11.75
2023-12-31,83.65,$7.00,11.95
2023-09-30,74.33,$6.63,11.21
2023-06-30,76.94,$6.45,11.93
2023-03-31,70.02,$6.55,10.69
2022-12-31,56.5,$6.78,8.33
2022-09-30,58.76,$7.01,8.38
2022-06-30,63.8,$6.26,10.19
2022-03-31,59.0,$5.22,11.3
2021-12-31,66.97,$4.23,15.83
2021-09-30,52.17,$3.45,15.12
2021-06-30,45.17,$3.06,14.76
2021-03-31,42.39,$2.47,17.16
2020-12-31,38.76,$2.34,16.56
2020-09-30,32.6,$2.40,13.58
2020-06-30,34.64,$2.15,16.11
2020-03-31,39.33,$2.12,18.55
2019-12-31,45.07,$2.18,20.67
2019-09-30,46.89,$2.02,23.21
2019-06-30,45.76,$1.98,23.11
2019-03-31,42.87,$2.06,20.81
2018-12-31,42.41,$2.06,20.59
2018-09-30,40.64,$2.17,18.73
2018-06-30,40.11,$2.04,19.66
2018-03-31,36.25,$1.99,18.21
2017-12-31,36.86,$1.82,20.25
2017-09-30,35.71,$1.80,19.84
2017-06-30,32.37,$1.72,18.82
2017-03-31,30.71,$1.71,17.96
2016-12-31,32.79,$1.60,20.49
2016-09-30,27.55,$1.55,17.78
2016-06-30,26.44,$1.59,16.63
2016-03-31,23.14,$1.48,15.64
2015-12-31,20.56,$1.58,13.01
2015-09-30,19.89,$1.47,13.53
2015-06-30,20.08,$1.49,13.48
2015-03-31,24.01,$1.46,16.45
2014-12-31,22.88,$1.57,14.58
2014-09-30,19.52,$1.64,11.9
2014-06-30,21.93,$1.63,13.46
2014-03-31,22.06,$1.57,14.05
2013-12-31,20.76,$1.39,14.93
2013-09-30,19.38,$1.12,17.3
2013-06-30,19.74,$0.75,26.31
2013-03-31,21.42,$0.05,428.45
2012-12-31,17.02,$-0.16,0.0
2012-09-30,16.04,$-1.47,0.0
2012-06-30,15.14,$-1.35,0.0
2012-03-31,14.2,$-0.35,0.0
2011-12-31,14.22,$-0.40,0.0
2011-09-30,11.65,$0.88,13.24
2011-06-30,13.23,$0.87,15.21
2011-03-31,14.07,$-0.04,0.0
2010-12-31,13.77,$-0.06,0.0
2010-09-30,12.28,$0.12,102.36
2010-06-30,11.47,$0.25,45.87
2010-03-31,12.85,$0.72,17.85
2009-12-31,14.31,$0.71,20.16
