Toronto Dominion Bank PE Ratio Historical Data,Toronto Dominion Bank PE Ratio Historical Data,Toronto Dominion Bank PE Ratio Historical Data,Toronto Dominion Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.42,,18.03
2024-07-31,58.03,$3.13,18.54
2024-04-30,57.55,$4.40,13.08
2024-01-31,58.17,$4.68,12.43
2023-10-31,52.84,$4.15,12.73
2023-07-31,61.65,$5.77,10.68
2023-04-30,56.02,$5.96,9.4
2023-01-31,63.2,$6.33,9.98
2022-10-31,57.78,$7.32,7.89
2022-07-31,58.04,$6.22,9.33
2022-04-30,63.85,$6.42,9.95
2022-01-31,70.09,$6.36,11.02
2021-10-31,62.94,$6.14,10.25
2021-07-31,57.16,$6.64,8.61
2021-04-30,58.58,$5.96,9.83
2021-01-31,47.76,$4.98,9.59
2020-10-31,36.94,$4.82,7.66
2020-07-31,36.52,$3.86,9.46
2020-04-30,33.99,$4.28,7.94
2020-01-31,44.39,$4.96,8.95
2019-10-31,45.38,$4.69,9.68
2019-07-31,46.0,$4.74,9.71
2019-04-30,44.42,$4.71,9.43
2019-01-31,43.47,$4.64,9.37
2018-10-31,42.4,$4.67,9.08
2018-07-31,44.85,$4.60,9.75
2018-04-30,42.18,$4.43,9.52
2018-01-31,45.25,$4.20,10.77
2017-10-31,41.96,$4.21,9.97
2017-07-31,37.72,$3.99,9.45
2017-04-30,34.15,$3.84,8.89
2017-01-31,37.21,$3.67,10.14
2016-10-31,32.35,$3.56,9.09
2016-07-31,30.77,$3.37,9.13
2016-04-30,31.11,$3.39,9.18
2016-01-31,26.2,$3.36,7.8
2015-10-31,28.12,$3.35,8.39
2015-07-31,27.43,$3.42,8.02
2015-04-30,31.04,$3.47,8.94
2015-01-31,26.53,$3.68,7.21
2014-10-31,32.54,$3.77,8.63
2014-07-31,34.21,$4.55,7.52
2014-04-30,31.22,$4.29,7.28
2014-01-31,27.81,$4.17,6.68
2013-10-31,29.25,$4.13,7.09
2013-07-31,26.6,$3.38,7.87
2013-04-30,25.63,$3.52,7.29
2013-01-31,25.9,$3.52,7.36
2012-10-31,24.99,$3.38,7.39
2012-07-31,23.91,$3.38,7.09
2012-04-30,25.24,$3.29,7.67
2012-01-31,22.86,$3.17,7.21
2011-10-31,22.12,$3.26,6.79
2011-07-31,23.24,$2.96,7.87
2011-04-30,25.01,$2.79,8.98
2011-01-31,21.46,$2.67,8.05
2010-10-31,20.52,$2.49,8.26
2010-07-31,20.07,$2.49,8.06
2010-04-30,20.8,$2.32,8.99
2010-01-31,16.34,$1.99,8.21
2009-10-31,15.71,$1.64,9.58
