Sterling Infrastructure PE Ratio Historical Data,Sterling Infrastructure PE Ratio Historical Data,Sterling Infrastructure PE Ratio Historical Data,Sterling Infrastructure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,165.4,,31.75
2024-06-30,118.34,$5.21,22.71
2024-03-31,110.31,$4.81,22.93
2023-12-31,87.93,$4.84,18.17
2023-09-30,73.48,$4.53,16.22
2023-06-30,55.8,$4.13,13.51
2022-12-31,32.8,$3.50,9.37
2022-09-30,21.47,$2.84,7.56
2022-06-30,21.92,$2.59,8.46
2022-03-31,26.8,$2.42,11.07
2021-12-31,26.3,$2.15,12.23
2021-09-30,22.67,$1.98,11.45
2021-06-30,24.13,$1.80,13.41
2021-03-31,23.2,$1.76,13.18
2020-12-31,18.61,$2.03,9.17
2020-09-30,14.16,$1.94,7.3
2020-06-30,10.47,$2.19,4.78
2023-03-31,37.88,$1.84,20.59
2020-03-31,9.5,$1.49,6.38
2019-12-31,14.08,$1.45,9.71
2019-09-30,13.15,$0.87,15.11
2019-06-30,13.42,$0.90,14.91
2019-03-31,12.52,$0.91,13.76
2018-12-31,10.89,$0.93,11.71
2018-09-30,14.32,$0.83,17.25
2018-06-30,13.03,$0.76,17.14
2018-03-31,11.46,$0.59,19.42
2017-12-31,16.28,$0.41,39.71
2017-09-30,15.23,$0.05,304.6
2017-06-30,13.07,$-0.11,0.0
2017-03-31,9.25,$-0.15,0.0
2016-12-31,8.46,$-1.07,0.0
2016-09-30,7.74,$-0.81,0.0
2016-06-30,4.91,$-1.04,0.0
2015-12-31,6.08,$-2.03,0.0
2015-09-30,4.11,$-1.41,0.0
2015-06-30,4.0,$-1.63,0.0
2015-03-31,4.52,$-1.43,0.0
2014-12-31,6.39,$-0.52,0.0
2014-09-30,7.67,$-3.65,0.0
2014-06-30,9.38,$-3.50,0.0
2014-03-31,8.67,$-4.50,0.0
2013-12-31,11.73,$-4.90,0.0
2013-09-30,9.25,$-1.37,0.0
2013-06-30,9.06,$-1.30,0.0
2013-03-31,10.89,$-0.22,0.0
2012-12-31,9.94,$-0.27,0.0
2012-09-30,9.98,$-3.00,0.0
2012-06-30,10.22,$-2.80,0.0
2012-03-31,9.75,$-2.70,0.0
2011-12-31,10.77,$-2.26,0.0
2011-09-30,11.17,$1.00,11.17
2011-06-30,13.77,$1.00,13.77
2011-03-31,16.88,$1.03,16.39
2010-12-31,13.04,$1.12,11.64
2010-09-30,12.38,$0.61,20.3
2010-06-30,12.94,$0.99,13.07
2010-03-31,15.72,$1.39,11.31
2009-12-31,19.14,$1.71,11.19
2009-09-30,17.91,$1.31,13.67
