Easterly Government Properties PE Ratio Historical Data,Easterly Government Properties PE Ratio Historical Data,Easterly Government Properties PE Ratio Historical Data,Easterly Government Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.42,,75.89
2024-06-30,12.13,$0.19,63.85
2024-03-31,11.04,$0.20,55.2
2023-12-31,12.6,$0.19,66.33
2023-09-30,10.47,$0.33,31.72
2023-06-30,13.02,$0.28,46.52
2023-03-31,12.11,$0.31,39.07
2022-12-31,12.36,$0.35,35.3
2022-09-30,13.43,$0.25,53.7
2022-06-30,15.98,$0.33,48.43
2022-03-31,17.5,$0.35,50.01
2021-12-31,18.74,$0.35,53.55
2021-09-30,16.69,$0.30,55.62
2021-06-30,16.83,$0.26,64.71
2021-03-31,16.34,$0.21,77.79
2020-12-31,17.63,$0.15,117.55
2020-09-30,17.23,$0.14,123.08
2020-06-30,17.59,$0.10,175.89
2020-03-31,18.54,$0.13,142.62
2019-12-31,17.68,$0.12,147.31
2019-09-30,15.69,$0.13,120.67
2019-06-30,13.17,$0.14,94.11
2018-12-31,11.09,$0.09,123.2
2018-09-30,13.49,$0.11,122.68
2018-06-30,13.59,$0.07,194.13
2018-03-31,13.85,$0.07,197.83
2017-12-31,14.3,$0.06,238.3
2019-03-31,12.92,$0.06,215.36
2017-09-30,13.68,$0.10,136.78
2017-06-30,13.69,$0.10,136.92
2017-03-31,12.78,$0.10,127.82
2016-12-31,12.78,$0.10,127.81
2016-09-30,12.03,$0.07,171.89
2016-06-30,12.29,$0.07,175.63
2016-03-31,11.4,$0.07,162.91
2015-12-31,10.45,$-0.18,0.0
