DNOW PE Ratio Historical Data,DNOW PE Ratio Historical Data,DNOW PE Ratio Historical Data,DNOW PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.64,,6.11
2024-06-30,13.73,$2.07,6.63
2024-03-31,15.2,$2.17,7.0
2023-12-31,11.32,$2.26,5.01
2023-09-30,11.87,$1.19,9.97
2023-06-30,10.36,$1.22,8.49
2023-03-31,11.15,$1.14,9.78
2022-12-31,12.7,$1.13,11.24
2022-09-30,10.05,$0.96,10.47
2022-06-30,9.78,$0.66,14.82
2022-03-31,11.03,$0.34,32.44
2021-12-31,8.54,$-0.33,0.0
2021-09-30,7.65,$-0.64,0.0
2021-03-31,10.09,$-0.96,0.0
2020-12-31,7.18,$-3.90,0.0
2020-09-30,4.54,$-4.77,0.0
2020-06-30,8.63,$-4.48,0.0
2020-03-31,5.16,$-4.09,0.0
2019-12-31,11.24,$-0.90,0.0
2019-09-30,11.47,$0.51,22.49
2019-06-30,14.76,$0.60,24.6
2019-03-31,13.96,$0.60,23.27
2018-12-31,11.64,$0.46,25.3
2018-09-30,16.55,$0.29,57.07
2018-06-30,13.33,$0.03,444.33
2018-03-31,10.22,$-0.25,0.0
2017-12-31,11.03,$-0.48,0.0
2017-09-30,13.81,$-1.11,0.0
2017-06-30,16.08,$-1.56,0.0
2017-03-31,16.96,$-1.80,0.0
2016-12-31,20.47,$-2.18,0.0
2016-09-30,21.43,$-3.85,0.0
2016-06-30,18.14,$-5.41,0.0
2016-03-31,17.72,$-5.19,0.0
2015-12-31,15.82,$-4.62,0.0
2015-09-30,14.8,$-2.38,0.0
2015-06-30,19.91,$-0.15,0.0
2021-06-30,9.49,$0.33,28.76
2015-03-31,21.64,$0.60,36.07
