Dynatrace PE Ratio Historical Data,Dynatrace PE Ratio Historical Data,Dynatrace PE Ratio Historical Data,Dynatrace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.0,,103.85
2024-06-30,44.74,$0.52,86.04
2024-03-31,46.44,$0.52,89.31
2023-12-31,54.69,$0.66,82.86
2023-09-30,46.73,$0.57,81.98
2023-06-30,51.47,$0.49,105.04
2023-03-31,42.3,$0.37,114.32
2022-12-31,38.3,$0.10,383.0
2022-09-30,34.81,$0.10,348.1
2022-06-30,39.44,$0.14,281.71
2022-03-31,47.1,$0.18,261.67
2021-12-31,60.35,$0.27,223.52
2021-09-30,70.97,$0.28,253.46
2021-06-30,58.42,$0.26,224.69
2021-03-31,48.24,$0.26,185.54
2020-12-31,43.27,$0.33,131.12
2020-09-30,41.02,$0.28,146.5
2020-06-30,40.6,$-1.36,0.0
