Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,214.34,,37.21
2024-06-30,193.3,$5.76,33.56
2024-03-31,171.88,$6.41,26.81
2023-12-31,166.84,$7.06,23.63
2023-09-30,154.21,$7.70,20.03
2023-06-30,173.38,$8.32,20.84
2023-03-31,177.82,$8.90,19.98
2022-12-31,156.82,$9.40,16.68
2022-09-30,145.79,$9.54,15.28
2022-06-30,143.8,$9.14,15.73
2022-03-31,170.55,$8.74,19.51
2021-12-31,174.06,$8.26,21.07
2021-09-30,176.43,$7.79,22.65
2021-06-30,175.56,$7.17,24.48
2021-03-31,171.57,$6.60,25.99
2020-12-31,148.09,$5.97,24.8
2020-09-30,127.94,$5.29,24.19
2020-06-30,112.98,$5.33,21.2
2020-03-31,88.19,$5.21,16.93
2019-12-31,112.41,$5.23,21.49
2019-09-30,112.38,$5.38,20.89
2019-06-30,99.2,$5.47,18.13
2019-03-31,91.68,$5.51,16.64
2018-12-31,81.07,$5.60,14.48
2018-09-30,91.29,$4.67,19.55
2018-06-30,93.29,$4.35,21.45
2018-03-31,87.39,$3.98,21.96
2017-12-31,87.36,$3.60,24.27
2017-09-30,74.5,$4.28,17.41
2017-06-30,63.54,$3.96,16.05
2017-03-31,66.13,$3.69,17.92
2016-12-31,59.52,$3.37,17.66
2016-09-30,56.83,$3.15,18.04
2016-06-30,50.45,$2.97,16.99
2016-03-31,45.95,$2.86,16.06
2015-12-31,43.53,$2.82,15.44
2015-09-30,39.08,$2.78,14.06
2015-06-30,40.37,$2.78,14.52
2015-03-31,44.55,$2.75,16.2
2014-12-31,41.39,$2.58,16.04
2014-09-30,36.66,$2.28,16.08
2014-06-30,36.5,$2.08,17.55
2014-03-31,35.79,$2.04,17.54
2013-12-31,33.09,$1.92,17.23
2013-09-30,30.14,$1.69,17.84
2013-06-30,25.88,$1.80,14.38
2013-03-31,26.15,$1.61,16.24
2012-12-31,22.62,$1.51,14.98
2012-09-30,20.03,$1.53,13.09
2012-06-30,20.72,$1.37,15.13
2012-03-31,24.15,$1.54,15.68
2011-12-31,20.81,$1.87,11.13
2011-09-30,18.95,$2.40,7.89
2011-06-30,23.24,$2.60,8.94
2011-03-31,24.38,$2.66,9.16
2010-12-31,22.84,$2.63,8.68
2010-09-30,18.99,$2.37,8.01
2010-06-30,16.21,$2.08,7.79
2010-03-31,16.96,$1.66,10.22
2009-12-31,17.97,$1.15,15.63
