Tencent Music Entertainment Group PE Ratio Historical Data,Tencent Music Entertainment Group PE Ratio Historical Data,Tencent Music Entertainment Group PE Ratio Historical Data,Tencent Music Entertainment Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.64,,23.28
2024-06-30,14.05,$0.50,28.1
2024-03-31,11.19,$0.46,24.33
2023-12-31,9.01,$0.44,20.48
2023-09-30,6.38,$0.43,14.84
2023-06-30,7.38,$0.42,17.57
2023-03-31,8.28,$0.39,21.23
2022-12-31,8.28,$0.34,24.35
2022-09-30,4.06,$0.28,14.5
2022-06-30,5.02,$0.26,19.31
2022-03-31,4.87,$0.26,18.73
2021-12-31,6.85,$0.28,24.46
2021-09-30,7.25,$0.34,21.32
2021-06-30,15.48,$0.37,41.84
2021-03-31,20.49,$0.37,55.38
2020-12-31,19.24,$0.36,53.44
2020-09-30,14.77,$0.34,43.44
2020-06-30,13.46,$0.33,40.79
2020-03-31,10.06,$0.17,59.18
2019-12-31,11.74,$0.18,65.22
2019-09-30,12.77,$0.18,70.94
