Fox PE Ratio Historical Data,Fox PE Ratio Historical Data,Fox PE Ratio Historical Data,Fox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,38.43,,12.28
2024-06-30,32.02,$3.13,10.23
2024-03-31,28.62,$3.19,8.97
2023-12-31,27.65,$1.69,16.36
2023-09-30,28.88,$2.04,14.16
2023-06-30,31.89,$2.32,13.75
2023-03-31,31.31,$2.13,14.7
2022-12-31,28.45,$2.73,10.42
2022-09-30,28.5,$2.00,14.25
2022-06-30,29.47,$2.11,13.97
2022-03-31,36.0,$1.99,18.09
2021-12-31,33.79,$2.45,13.79
2021-09-30,36.6,$2.97,12.32
2021-06-30,34.46,$3.59,9.6
2021-03-31,34.2,$3.36,10.18
2020-12-31,28.11,$2.53,11.11
2020-09-30,27.22,$2.64,10.31
2020-06-30,25.9,$1.61,16.09
2020-03-31,22.08,$2.14,10.32
2019-12-31,34.87,$2.86,12.19
2019-09-30,30.21,$2.38,12.7
2019-06-30,34.75,$1.58,21.99
2019-03-31,33.92,$0.85,39.9
2018-12-31,45.17,0,0.0
2018-09-30,43.32,0,0.0
2018-06-30,46.58,0,0.0
