Goldman Sachs BDC PE Ratio Historical Data,Goldman Sachs BDC PE Ratio Historical Data,Goldman Sachs BDC PE Ratio Historical Data,Goldman Sachs BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.71,,16.13
2024-06-30,14.55,$0.85,17.12
2024-03-31,14.08,$1.92,7.34
2023-12-31,13.37,$1.80,7.43
2023-09-30,12.9,$1.37,9.41
2023-06-30,11.91,$0.83,14.35
2023-03-31,11.36,$0.41,27.71
2022-12-31,11.05,$0.53,20.86
2022-09-30,11.28,$0.88,12.82
2022-06-30,12.72,$1.32,9.64
2022-03-31,14.46,$1.68,8.61
2021-12-31,13.81,$1.89,7.31
2021-09-30,12.93,$2.45,5.28
2021-06-30,13.44,$2.88,4.67
2021-03-31,12.93,$3.20,4.04
2020-12-31,12.46,$1.02,12.22
2020-09-30,9.58,$0.30,31.93
2020-06-30,10.04,$-0.28,0.0
2020-03-31,7.42,$-0.74,0.0
2019-12-31,12.36,$0.90,13.74
2019-09-30,11.43,$0.65,17.59
2019-06-30,10.95,$0.90,12.17
2019-03-31,11.17,$0.93,12.01
2018-12-31,9.78,$1.33,7.36
2018-09-30,11.53,$1.67,6.91
2018-06-30,10.44,$1.65,6.33
2018-03-31,9.54,$1.34,7.12
2017-12-31,10.81,$1.28,8.44
2017-09-30,10.9,$1.12,9.73
2017-06-30,10.55,$1.29,8.18
2017-03-31,11.32,$1.36,8.32
2016-12-31,10.61,$1.11,9.56
2016-09-30,9.63,$0.99,9.72
2016-06-30,8.66,$0.87,9.96
2016-03-31,8.31,$1.14,7.29
2015-12-31,7.87,$1.36,5.79
