Watsco PE Ratio Historical Data,Watsco PE Ratio Historical Data,Watsco PE Ratio Historical Data,Watsco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,492.3,,37.67
2024-06-30,442.45,$13.07,33.85
2024-03-31,424.03,$13.00,32.62
2023-12-31,414.5,$13.66,30.34
2023-09-30,355.3,$15.15,23.45
2023-06-30,353.52,$14.83,23.84
2023-03-31,303.18,$15.34,19.76
2022-12-31,240.59,$15.41,15.61
2022-09-30,259.5,$13.88,18.7
2022-06-30,228.39,$13.47,16.96
2022-03-31,288.77,$12.25,23.57
2021-12-31,283.43,$10.74,26.39
2021-09-30,246.47,$9.86,25.0
2021-06-30,266.07,$9.00,29.56
2021-03-31,231.03,$7.55,30.6
2020-12-31,209.09,$6.88,30.39
2020-09-30,207.41,$6.66,31.14
2020-06-30,157.3,$6.10,25.79
2020-03-31,136.22,$6.24,21.83
2019-12-31,156.81,$6.40,24.5
2019-09-30,141.34,$6.50,21.74
2019-06-30,139.98,$6.41,21.84
2019-03-31,120.9,$6.41,18.86
2018-12-31,112.06,$6.42,17.45
2018-09-30,145.66,$6.59,22.1
2018-06-30,144.05,$6.30,22.86
2018-03-31,145.75,$5.97,24.41
2017-12-31,135.66,$5.79,23.43
2017-09-30,127.56,$5.41,23.58
2017-06-30,119.99,$5.37,22.34
2017-03-31,112.34,$5.12,21.94
2016-12-31,115.83,$5.12,22.62
2016-09-30,110.44,$5.06,21.83
2016-06-30,107.42,$4.92,21.83
2016-03-31,99.59,$4.95,20.12
2015-12-31,90.04,$4.89,18.41
2015-09-30,89.59,$4.83,18.55
2015-06-30,94.92,$4.75,19.98
2015-03-31,92.97,$4.50,20.66
2014-12-31,79.28,$4.33,18.31
2014-09-30,64.25,$4.14,15.52
2014-06-30,74.68,$3.90,19.15
2014-03-31,72.48,$3.78,19.17
2013-12-31,70.01,$3.69,18.97
2013-09-30,68.28,$3.23,21.14
2013-06-30,59.43,$3.10,19.17
2013-03-31,60.05,$2.77,21.68
2012-12-31,53.28,$2.61,20.41
2012-09-30,51.15,$2.96,17.28
2012-06-30,46.67,$2.79,16.73
2012-03-31,48.24,$2.73,17.67
2011-12-31,43.31,$2.71,15.98
2011-09-30,33.66,$2.63,12.8
2011-06-30,43.5,$2.58,16.86
2011-03-31,43.72,$2.57,17.01
2010-12-31,40.29,$2.46,16.38
2010-09-30,34.57,$2.36,14.65
2010-06-30,35.81,$2.05,17.47
2010-03-31,35.04,$0.93,37.67
2009-12-31,30.12,$1.39,21.67
