Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,38.99,,18.22
2024-06-30,44.02,$2.14,20.57
2024-03-31,51.22,$2.07,24.74
2023-12-31,48.56,$1.60,30.35
2023-09-30,45.05,$0.88,51.19
2023-06-30,56.8,$0.07,811.5
2023-03-31,56.27,$-0.72,0.0
2022-12-31,47.08,$2.40,19.62
2022-09-30,36.75,$2.45,15.0
2022-06-30,32.9,$2.28,14.43
2022-03-31,38.07,$2.41,15.8
2021-12-31,36.86,$-1.26,0.0
2021-09-30,35.85,$-1.48,0.0
2021-06-30,51.6,$-1.74,0.0
2021-03-31,59.51,$-2.56,0.0
2020-12-31,58.37,$-2.20,0.0
2020-09-30,45.7,$-0.99,0.0
2020-06-30,44.6,$0.44,101.37
2020-03-31,41.59,$2.75,15.13
2019-12-31,66.33,$3.50,18.95
2019-09-30,54.88,$2.46,22.31
2019-06-30,55.42,$2.50,22.17
2019-03-31,56.44,$1.96,28.8
2018-12-31,47.57,$3.05,15.6
2018-09-30,53.47,$4.80,11.14
2018-06-30,67.97,$4.79,14.19
2018-03-31,63.4,$4.78,13.26
2017-12-31,60.65,$3.54,17.13
2017-09-30,55.43,$2.65,20.92
2017-06-30,54.57,$2.58,21.15
2017-03-31,48.2,$2.30,20.96
2016-12-31,44.53,$2.10,21.2
2016-09-30,47.35,$2.05,23.1
2016-06-30,35.33,$2.05,17.24
2016-03-31,41.32,$2.23,18.53
2015-12-31,34.59,$2.47,14.0
2015-09-30,29.49,$2.78,10.61
2015-06-30,40.26,$2.96,13.6
2015-03-31,41.65,$3.20,13.02
2014-12-31,43.51,$3.51,12.39
2014-09-30,46.1,$3.31,13.93
2014-06-30,56.04,$3.24,17.3
2014-03-31,59.0,$3.05,19.34
2013-12-31,57.25,$2.79,20.52
2013-09-30,48.0,$2.62,18.32
2013-06-30,38.05,$2.28,16.69
2013-03-31,40.26,$1.93,20.86
2012-12-31,32.76,$1.85,17.71
2012-09-30,30.8,$1.71,18.01
2012-06-30,28.73,$1.73,16.61
2012-03-31,37.83,$1.89,20.01
2011-12-31,27.95,$1.56,17.92
2011-09-30,25.08,$1.51,16.61
2011-06-30,27.61,$1.28,21.57
2011-03-31,27.62,$0.82,33.68
2010-12-31,30.06,$0.50,60.12
2010-09-30,22.8,$-0.01,0.0
2010-06-30,14.48,$-0.38,0.0
2010-03-31,13.84,$-0.71,0.0
2009-12-31,9.77,$-0.81,0.0
