WEX PE Ratio Historical Data,WEX PE Ratio Historical Data,WEX PE Ratio Historical Data,WEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,213.55,,36.95
2024-06-30,177.14,$5.78,30.65
2024-03-31,237.53,$6.15,38.62
2023-12-31,194.55,$6.16,31.58
2023-09-30,188.09,$6.20,30.34
2023-06-30,182.07,$4.78,38.09
2023-03-31,183.89,$3.34,55.06
2022-12-31,163.65,$4.49,36.45
2022-09-30,126.94,$2.21,57.44
2022-06-30,155.56,$4.28,36.35
2022-03-31,178.45,$2.76,64.66
2021-12-31,140.39,$-0.01,0.0
2021-09-30,176.14,$-5.05,0.0
2021-06-30,193.9,$-7.61,0.0
2021-03-31,209.22,$-5.19,0.0
2020-12-31,203.53,$-5.50,0.0
2020-09-30,138.97,$1.04,133.63
2020-06-30,165.01,$2.86,57.7
2020-03-31,104.55,$1.52,68.78
2019-12-31,209.46,$2.26,92.68
2019-09-30,202.07,$1.51,133.82
2019-06-30,208.1,$2.49,83.57
2019-03-31,191.99,$3.07,62.54
2018-12-31,140.06,$3.82,36.66
2018-09-30,200.76,$5.18,38.76
2018-06-30,190.48,$4.66,40.88
2018-03-31,156.62,$4.16,37.65
2017-12-31,141.23,$3.72,37.97
2017-09-30,112.22,$1.99,56.39
2017-06-30,104.27,$1.66,62.81
2017-03-31,103.5,$1.58,65.51
2016-12-31,111.6,$1.49,74.9
2016-09-30,108.09,$1.91,56.59
2016-06-30,88.67,$2.28,38.89
2016-03-31,83.36,$2.64,31.58
2015-12-31,88.4,$2.62,33.74
2015-09-30,86.84,$3.31,26.24
2015-06-30,113.97,$4.39,25.96
2015-03-31,107.36,$4.82,22.27
2014-12-31,98.92,$5.18,19.1
2014-09-30,110.32,$4.83,22.84
2014-06-30,104.97,$4.04,25.98
2014-03-31,95.05,$4.01,23.7
2013-12-31,99.03,$3.81,25.99
2013-09-30,87.75,$3.67,23.91
2013-06-30,76.7,$2.92,26.27
2013-03-31,78.5,$2.62,29.96
2012-12-31,75.37,$2.48,30.39
2012-09-30,69.72,$2.58,27.02
2012-06-30,61.72,$3.44,17.94
2012-03-31,64.73,$3.70,17.49
2011-12-31,54.28,$3.42,15.87
2011-09-30,38.04,$3.05,12.47
2011-06-30,52.07,$2.35,22.16
2011-03-31,51.84,$2.08,24.92
2010-12-31,46.0,$2.25,20.44
2010-09-30,35.71,$2.09,17.09
2010-06-30,29.7,$2.16,13.75
2010-03-31,30.12,$3.75,8.03
2009-12-31,31.86,$3.55,8.97
