NetScout Systems PE Ratio Historical Data,NetScout Systems PE Ratio Historical Data,NetScout Systems PE Ratio Historical Data,NetScout Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.54,,0.0
2024-06-30,18.29,$-8.24,0.0
2024-03-31,21.84,$-2.10,0.0
2023-12-31,21.95,$-1.69,0.0
2023-09-30,28.02,$0.90,31.13
2023-06-30,30.95,$0.85,36.41
2023-03-31,28.65,$0.81,35.37
2022-12-31,32.51,$0.76,42.78
2022-09-30,31.32,$0.68,46.06
2022-06-30,33.85,$0.55,61.55
2022-03-31,32.08,$0.50,64.16
2021-12-31,33.08,$0.75,44.11
2021-09-30,26.95,$0.50,53.9
2021-06-30,28.54,$0.34,83.94
2021-03-31,28.16,$0.59,47.73
2020-12-31,27.42,$0.93,29.48
2020-09-30,21.83,$0.31,70.42
2020-03-31,23.67,$-0.02,0.0
2019-12-31,24.07,$0.12,200.58
2019-09-30,23.06,$-0.61,0.0
2019-06-30,25.39,$-0.43,0.0
2019-03-31,28.07,$-0.39,0.0
2020-06-30,25.56,$-1.41,0.0
2018-12-31,23.63,$-0.97,0.0
2018-09-30,25.25,$0.10,252.5
2018-06-30,29.7,$0.41,72.44
2018-03-31,26.35,$0.92,28.64
2017-12-31,30.45,$0.96,31.72
2017-09-30,32.35,$0.17,190.29
2017-06-30,34.4,$0.19,181.05
2017-03-31,37.95,$0.36,105.42
2016-12-31,31.5,$0.08,393.75
2016-09-30,29.25,$-0.40,0.0
2016-06-30,22.25,$-0.48,0.0
2016-03-31,22.97,$-0.19,0.0
2015-12-31,30.7,$0.35,87.71
2015-09-30,35.37,$1.02,34.68
2015-06-30,36.67,$1.38,26.57
2015-03-31,43.85,$1.46,30.03
2014-12-31,36.54,$1.36,26.87
2014-09-30,45.8,$1.35,33.93
2014-06-30,44.34,$1.32,33.59
2014-03-31,37.58,$1.17,32.12
2013-12-31,29.59,$1.11,26.66
2013-09-30,25.53,$0.96,26.59
2013-06-30,23.34,$0.95,24.57
2013-03-31,24.57,$1.13,21.74
2012-12-31,25.99,$1.03,25.23
2012-09-30,25.51,$0.94,27.14
2012-03-31,20.34,$0.77,26.42
2011-12-31,17.6,$0.72,24.44
2011-09-30,11.42,$0.60,19.03
2011-06-30,20.89,$0.69,30.28
2011-03-31,27.32,$0.82,33.32
2012-06-30,21.59,$0.74,29.18
2010-12-31,23.01,$0.79,29.13
2010-09-30,20.51,$0.73,28.1
2010-06-30,14.22,$0.71,20.03
2010-03-31,14.79,$0.67,22.07
2009-12-31,14.62,$0.64,22.84
