WaFd PE Ratio Historical Data,WaFd PE Ratio Historical Data,WaFd PE Ratio Historical Data,WaFd PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.95,,14.84
2024-06-30,28.38,$2.49,11.4
2024-03-31,28.56,$2.63,10.86
2023-12-31,32.12,$3.41,9.42
2023-09-30,24.74,$3.72,6.65
2023-06-30,25.37,$4.07,6.23
2023-03-31,28.55,$4.09,6.98
2022-12-31,31.57,$3.84,8.22
2022-09-30,28.02,$3.39,8.26
2022-06-30,27.86,$3.04,9.17
2022-03-31,30.23,$2.74,11.03
2021-12-31,30.53,$2.60,11.74
2021-09-30,31.18,$2.40,12.99
2021-06-30,28.68,$2.13,13.46
2021-03-31,27.6,$1.98,13.94
2020-12-31,22.88,$1.91,11.98
2020-09-30,18.35,$2.24,8.19
2020-06-30,23.4,$2.45,9.55
2020-03-31,22.43,$2.66,8.43
2019-12-31,31.47,$2.80,11.24
2019-09-30,31.58,$2.61,12.1
2019-06-30,29.65,$2.57,11.54
2019-03-31,24.37,$2.51,9.71
2018-12-31,22.38,$2.45,9.13
2018-09-30,26.64,$2.39,11.15
2018-06-30,27.08,$2.29,11.83
2018-03-31,28.5,$2.17,13.14
2017-12-31,28.08,$2.07,13.56
2017-09-30,27.47,$1.94,14.16
2017-06-30,26.98,$1.91,14.12
2017-03-31,26.78,$1.89,14.17
2016-12-31,27.45,$1.87,14.68
2016-09-30,21.21,$1.79,11.85
2016-06-30,19.18,$1.75,10.96
2016-03-31,17.81,$1.69,10.54
2015-12-31,18.61,$1.66,11.21
2015-09-30,17.67,$1.67,10.58
2015-06-30,18.04,$1.63,11.07
2015-03-31,16.75,$1.59,10.53
2014-12-31,16.9,$1.55,10.91
2014-09-30,15.42,$1.55,9.95
2014-06-30,16.91,$1.55,10.91
2014-03-31,17.49,$1.54,11.36
2013-12-31,17.48,$1.50,11.66
2013-09-30,15.38,$1.44,10.68
2013-06-30,13.98,$1.36,10.28
2013-03-31,12.89,$1.33,9.69
2012-12-31,12.43,$1.31,9.49
2012-09-30,12.15,$1.29,9.42
2012-06-30,12.26,$1.24,9.89
2012-03-31,12.16,$1.18,10.31
2011-12-31,10.11,$1.09,9.27
2011-09-30,9.11,$1.00,9.11
2011-06-30,11.71,$0.86,13.61
2011-03-31,12.31,$0.70,17.59
2010-12-31,12.01,$1.20,10.01
2010-09-30,10.78,$1.05,10.26
2010-06-30,11.38,$1.02,11.15
2010-03-31,14.29,$0.94,15.2
2009-12-31,13.56,$0.31,43.75
