Neogen PE Ratio Historical Data,Neogen PE Ratio Historical Data,Neogen PE Ratio Historical Data,Neogen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.46,,0.0
2024-08-31,17.25,$-0.11,0.0
2024-05-31,13.15,$-0.04,0.0
2024-02-29,17.19,$0.01,1719.0
2023-11-30,16.97,$0.06,282.83
2023-08-31,23.12,$-0.11,0.0
2023-05-31,17.49,$-0.07,0.0
2023-02-28,17.69,$0.04,442.25
2022-11-30,16.56,$0.05,331.2
2022-08-31,20.9,$0.34,61.47
2022-05-31,26.46,$0.45,58.8
2022-02-28,35.7,$0.46,77.61
2021-11-30,40.13,$0.54,75.01
2021-08-31,43.78,$0.59,74.84
2021-05-31,46.16,$0.58,80.27
2021-02-28,40.96,$0.58,70.62
2020-11-30,37.11,$0.57,65.11
2020-08-31,38.1,$0.58,66.26
2020-05-31,35.61,$0.57,63.03
2020-02-29,30.38,$0.56,54.24
2019-11-30,33.29,$0.57,58.39
2019-08-31,35.26,$0.57,61.86
2019-05-31,28.18,$0.58,49.0
2019-02-28,30.98,$0.59,52.51
2018-11-30,32.43,$0.63,51.89
2018-08-31,46.72,$0.64,73.57
2018-05-31,37.86,$0.61,62.44
2018-02-28,29.14,$0.56,51.91
2017-11-30,31.46,$0.50,62.6
2017-08-31,25.84,$0.45,57.88
2017-05-31,23.73,$0.43,55.5
2017-02-28,24.32,$0.41,60.04
2016-11-30,23.73,$0.39,61.43
2016-08-31,22.15,$0.37,60.27
2016-05-31,18.51,$0.36,50.89
2016-02-29,18.47,$0.36,51.29
2015-11-30,22.15,$0.35,62.81
2015-08-31,19.37,$0.34,56.72
2015-05-31,17.53,$0.34,51.92
2015-02-28,19.18,$0.32,60.17
2014-11-30,16.62,$0.31,53.38
2014-08-31,15.79,$0.30,53.28
2014-05-31,14.17,$0.29,49.5
2014-02-28,16.25,$0.28,57.24
2013-11-30,19.08,$0.28,67.22
2013-08-31,13.53,$0.29,46.64
2013-05-31,13.62,$0.28,48.63
2013-02-28,11.71,$0.27,43.35
2012-11-30,11.39,$0.26,44.22
2012-08-31,9.76,$0.24,40.25
2012-05-31,9.74,$0.24,41.43
2012-02-29,8.68,$0.24,36.91
2011-11-30,8.81,$0.23,37.88
2011-08-31,8.68,$0.24,35.79
2011-05-31,11.21,$0.24,46.23
2011-02-28,9.35,$0.23,40.64
2010-11-30,9.29,$0.22,42.22
2010-08-31,7.31,$0.21,35.63
2010-05-31,6.43,$0.19,33.69
2010-02-28,6.06,$0.18,33.82
2009-11-30,5.42,$0.17,32.22
