Sensata Technologies Holding PE Ratio Historical Data,Sensata Technologies Holding PE Ratio Historical Data,Sensata Technologies Holding PE Ratio Historical Data,Sensata Technologies Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.13,,903.25
2024-06-30,37.27,$0.04,931.64
2024-03-31,36.51,$-0.11,0.0
2023-12-31,37.2,$-0.05,0.0
2023-09-30,37.45,$2.03,18.45
2023-06-30,44.42,$2.53,17.56
2023-03-31,49.24,$2.43,20.26
2022-12-31,39.67,$2.01,19.73
2022-09-30,36.52,$1.97,18.54
2022-06-30,40.37,$1.59,25.39
2022-03-31,49.57,$2.08,23.83
2021-12-31,60.14,$2.28,26.38
2021-09-30,53.34,$2.35,22.7
2021-06-30,56.51,$2.31,24.46
2021-03-31,56.49,$1.33,42.48
2020-12-31,51.41,$1.04,49.44
2020-09-30,42.05,$0.61,68.94
2020-06-30,36.29,$0.56,64.81
2020-03-31,28.2,$1.28,22.03
2019-12-31,52.51,$1.75,30.01
2019-09-30,48.8,$2.95,16.54
2019-06-30,47.77,$3.39,14.09
2019-03-31,43.89,$3.55,12.36
2018-12-31,43.71,$3.55,12.31
2018-09-30,48.3,$2.99,16.16
2018-06-30,46.38,$2.62,17.7
2018-03-31,50.53,$2.47,20.46
2017-12-31,49.82,$2.37,21.02
2017-09-30,46.86,$1.78,26.33
2017-06-30,41.65,$1.68,24.79
2017-03-31,42.57,$1.60,26.61
2016-12-31,37.97,$1.53,24.82
2016-09-30,37.8,$2.41,15.69
2016-06-30,34.01,$2.31,14.72
2016-03-31,37.86,$2.17,17.45
2015-12-31,44.9,$2.03,22.12
2015-09-30,43.22,$1.17,36.94
2015-06-30,51.41,$1.34,38.37
2015-03-31,56.0,$1.47,38.1
2014-12-31,51.09,$1.65,30.96
2014-09-30,43.41,$1.62,26.8
2014-06-30,45.6,$1.51,30.2
2014-03-31,41.57,$1.25,33.25
2013-12-31,37.79,$1.05,35.99
2013-09-30,37.31,$1.06,35.2
2013-06-30,34.02,$0.92,36.98
2013-03-31,32.04,$0.95,33.73
2012-12-31,31.66,$0.97,32.64
2012-09-30,29.02,$0.71,40.87
2012-06-30,26.11,$0.62,42.11
2012-03-31,32.64,$0.28,116.56
2011-12-31,25.62,$0.02,1280.95
2011-09-30,25.79,$0.27,95.53
2011-06-30,36.7,$-0.15,0.0
2011-03-31,33.86,$0.51,66.38
2010-12-31,29.35,$0.73,40.21
