Helios Technologies PE Ratio Historical Data,Helios Technologies PE Ratio Historical Data,Helios Technologies PE Ratio Historical Data,Helios Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.51,,53.9
2024-06-30,47.57,$0.90,52.85
2024-03-31,44.43,$1.00,44.43
2023-12-31,44.99,$1.14,39.46
2023-09-30,54.95,$1.58,34.78
2023-06-30,65.36,$2.10,31.13
2023-03-31,64.59,$2.51,25.73
2022-12-31,53.68,$3.03,17.72
2022-09-30,49.81,$3.21,15.52
2022-06-30,65.12,$3.44,18.93
2022-03-31,78.79,$3.47,22.71
2021-12-31,103.17,$3.23,31.94
2021-09-30,80.46,$2.68,30.02
2021-06-30,76.39,$2.22,34.41
2021-03-31,71.23,$1.67,42.66
2020-12-31,52.0,$0.43,120.94
2020-09-30,35.44,$0.69,51.36
2020-06-30,36.17,$0.69,52.42
2020-03-31,36.73,$0.83,44.25
2019-12-31,44.69,$1.88,23.77
2019-09-30,39.12,$1.96,19.96
2019-06-30,44.67,$1.92,23.26
2019-03-31,44.68,$1.60,27.93
2018-12-31,31.8,$1.49,21.34
2018-09-30,52.39,$1.08,48.51
2018-06-30,46.0,$1.14,40.35
2018-03-31,51.04,$1.19,42.89
2017-12-31,61.56,$1.17,52.62
2017-09-30,51.31,$1.19,43.12
2017-06-30,40.54,$0.96,42.23
2017-03-31,34.24,$0.95,36.04
2016-12-31,37.78,$0.76,49.71
2016-09-30,30.44,$0.96,31.7
2016-06-30,27.92,$1.12,24.93
2015-12-31,29.63,$1.25,23.71
2015-09-30,25.58,$1.45,17.64
2015-06-30,35.38,$1.44,24.57
2015-03-31,38.3,$1.46,26.23
2014-12-31,36.3,$1.53,23.73
2016-03-31,31.12,$1.57,19.82
2014-09-30,33.67,$1.58,21.31
2014-06-30,36.28,$1.53,23.71
2014-03-31,38.61,$1.52,25.4
2013-12-31,36.25,$1.46,24.83
2013-09-30,32.13,$1.40,22.95
2013-06-30,27.64,$1.42,19.47
2013-03-31,28.65,$1.40,20.46
2012-12-31,22.85,$1.44,15.87
2012-09-30,22.32,$1.42,15.72
2012-06-30,20.33,$1.52,13.38
2012-03-31,21.81,$1.50,14.54
2011-12-31,19.39,$1.47,13.19
2011-09-30,16.8,$1.48,11.37
2011-06-30,26.16,$1.26,20.71
2011-03-31,23.54,$1.09,21.53
2010-12-31,20.55,$0.85,24.27
2010-09-30,15.05,$0.65,23.04
2010-06-30,12.49,$0.45,27.96
2010-03-31,13.78,$0.19,73.83
2009-12-31,13.87,$0.07,189.28
