Burlington Stores PE Ratio Historical Data,Burlington Stores PE Ratio Historical Data,Burlington Stores PE Ratio Historical Data,Burlington Stores PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,261.0,,39.25
2024-07-31,260.32,$6.65,39.15
2024-04-30,179.94,$5.97,30.14
2024-01-31,191.15,$5.25,36.41
2023-10-31,121.03,$4.55,26.6
2023-07-31,177.62,$4.06,43.75
2023-04-30,192.81,$3.77,51.14
2023-01-31,229.83,$3.51,65.48
2022-10-31,142.96,$2.48,57.65
2022-07-31,141.13,$2.42,58.32
2022-04-30,203.56,$3.74,54.43
2022-01-31,236.93,$6.01,39.42
2021-10-31,276.29,$6.54,42.25
2021-07-31,334.8,$6.46,51.83
2021-04-30,326.33,$4.25,76.78
2021-01-31,248.9,$-3.35,0.0
2020-10-31,193.58,$-2.60,0.0
2020-07-31,188.0,$-1.28,0.0
2020-04-30,182.69,$0.69,264.77
2020-01-31,217.47,$6.93,31.38
2019-10-31,192.17,$6.55,29.34
2019-07-31,180.75,$6.23,29.01
2019-04-30,168.91,$6.00,28.15
2019-01-31,171.71,$6.05,28.38
2018-10-31,171.49,$6.82,25.15
2018-07-31,152.81,$6.35,24.06
2018-04-30,135.85,$5.98,22.72
2018-01-31,121.71,$5.51,22.09
2017-10-31,93.89,$3.81,24.64
2017-07-31,87.03,$3.61,24.11
2017-04-30,98.92,$3.23,30.63
2017-01-31,83.7,$3.02,27.72
2016-10-31,74.94,$2.60,28.82
2016-07-31,76.51,$2.35,32.56
2016-04-30,56.97,$2.21,25.78
2016-01-31,53.73,$2.03,26.47
2015-10-31,48.08,$1.92,25.04
2015-07-31,55.04,$1.27,43.34
2015-04-30,51.57,$1.04,49.59
2015-01-31,49.89,$0.86,58.01
2014-10-31,41.94,$0.46,91.17
2014-07-31,32.73,$0.68,48.13
