Gorman-Rupp PE Ratio Historical Data,Gorman-Rupp PE Ratio Historical Data,Gorman-Rupp PE Ratio Historical Data,Gorman-Rupp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.44,,30.34
2024-06-30,36.54,$1.30,28.11
2024-03-31,39.15,$1.38,28.37
2023-12-31,35.0,$1.33,26.31
2023-09-30,32.23,$1.08,29.84
2023-06-30,28.09,$0.83,33.84
2023-03-31,24.18,$0.39,62.01
2022-12-31,24.63,$0.43,57.27
2022-09-30,22.72,$0.59,38.51
2022-06-30,26.87,$0.84,31.99
2022-03-31,33.87,$1.15,29.45
2021-12-31,41.87,$1.14,36.73
2021-09-30,33.53,$1.15,29.16
2021-06-30,32.1,$1.09,29.45
2021-03-31,30.73,$1.04,29.55
2020-12-31,29.97,$0.97,30.9
2020-09-30,27.08,$1.03,26.3
2020-06-30,28.45,$1.12,25.4
2020-03-31,28.42,$1.30,21.86
2019-12-31,34.01,$1.37,24.82
2019-09-30,31.42,$1.41,22.29
2019-06-30,29.65,$1.45,20.45
2019-03-31,30.53,$1.44,21.2
2018-12-31,29.03,$1.53,18.98
2018-09-30,30.74,$1.48,20.77
2018-06-30,29.37,$1.29,22.77
2018-03-31,24.45,$1.20,20.38
2017-12-31,25.97,$1.02,25.46
2017-09-30,27.0,$0.90,30.0
2017-06-30,21.03,$0.95,22.13
2017-03-31,25.81,$0.90,28.68
2016-12-31,25.34,$0.95,26.68
2016-09-30,20.89,$0.97,21.53
2016-06-30,22.27,$0.92,24.2
2016-03-31,20.99,$0.92,22.81
2015-12-31,21.54,$0.96,22.44
2015-09-30,19.24,$1.05,18.33
2015-06-30,22.45,$1.19,18.87
2015-03-31,23.86,$1.28,18.64
2014-12-31,25.5,$1.38,18.48
2014-09-30,23.77,$1.36,17.48
2014-06-30,27.91,$1.30,21.4
2014-03-31,25.01,$1.31,19.12
2013-12-31,26.23,$1.15,22.77
2013-09-30,25.11,$1.01,24.91
2013-06-30,19.87,$0.96,20.7
2013-03-31,18.69,$0.90,20.67
2012-12-31,18.49,$1.07,17.25
2012-09-30,16.67,$1.13,14.78
2012-06-30,18.34,$1.17,15.7
2012-03-31,17.89,$1.22,14.71
2011-12-31,16.6,$1.09,15.19
2011-09-30,15.05,$1.27,11.89
2011-06-30,20.01,$1.21,16.59
2011-03-31,19.1,$1.09,17.56
2010-12-31,15.63,$0.99,15.76
2010-09-30,13.28,$0.77,17.3
2010-06-30,12.03,$0.73,16.49
2010-03-31,12.18,$0.70,17.45
2009-12-31,13.17,$0.70,18.88
