Credicorp PE Ratio Historical Data,Credicorp PE Ratio Historical Data,Credicorp PE Ratio Historical Data,Credicorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,186.61,,11.26
2024-06-30,158.71,$16.58,9.57
2024-03-31,157.74,$16.85,9.36
2023-12-31,139.59,$15.64,8.93
2023-09-30,119.14,$17.04,6.99
2023-06-30,137.46,$16.56,8.3
2023-03-31,117.11,$15.10,7.76
2022-09-30,108.62,$12.12,8.96
2022-06-30,106.07,$10.24,10.36
2021-12-31,104.84,$8.75,11.98
2021-09-30,95.28,$7.73,12.33
2021-06-30,102.84,$7.24,14.21
2021-03-31,115.97,$5.68,20.42
2020-12-31,139.28,$7.05,19.76
2020-09-30,105.29,$8.86,11.88
2020-03-31,114.09,$12.17,9.37
2019-12-31,169.95,$15.56,10.92
2019-09-30,164.35,$15.51,10.6
2019-06-30,180.49,$15.27,11.82
2019-03-31,189.19,$15.34,12.33
2018-12-31,174.78,$15.21,11.49
2018-09-30,175.89,$15.74,11.17
2018-06-30,177.5,$9.62,18.45
2018-03-31,175.7,$5.86,29.98
2017-12-31,160.53,$5.38,29.84
2020-06-30,113.51,$4.62,24.57
2017-09-30,154.94,$10.19,15.2
2017-06-30,135.57,$13.76,9.85
2017-03-31,120.46,$13.49,8.93
2016-12-31,116.45,$13.04,8.93
2016-09-30,112.29,$12.89,8.71
2016-06-30,113.84,$12.31,9.25
2016-03-31,95.07,$12.20,7.79
2015-09-30,77.19,$11.20,6.89
2015-06-30,100.81,$10.30,9.79
2015-03-31,100.58,$7.99,12.59
2013-12-31,93.67,$7.11,13.17
2013-09-30,90.66,$7.72,11.74
2013-06-30,90.3,$8.32,10.85
2013-03-31,115.25,$9.80,11.76
2012-12-31,101.72,$9.89,10.29
2012-09-30,86.95,$9.75,8.92
2012-06-30,87.38,$9.04,9.67
2012-03-31,89.9,$9.06,9.92
2011-12-31,74.66,$8.88,8.41
2011-09-30,62.88,$8.13,7.73
2011-06-30,58.72,$7.95,7.39
2011-03-31,70.13,$7.80,8.99
2010-12-31,79.47,$7.16,11.1
2010-09-30,76.12,$7.07,10.77
2010-06-30,60.74,$6.64,9.15
2010-03-31,57.81,$6.05,9.56
2009-12-31,50.5,$5.89,8.57
