U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,47.23,,14.99
2024-06-30,39.7,$3.15,12.6
2024-03-31,44.16,$3.02,14.62
2023-12-31,42.28,$3.28,12.89
2023-09-30,31.94,$3.36,9.51
2023-06-30,31.45,$3.61,8.71
2023-03-31,33.82,$3.76,9.0
2022-12-31,40.37,$3.71,10.88
2022-09-30,36.92,$4.21,8.77
2022-06-30,41.65,$4.35,9.57
2022-03-31,47.62,$4.64,10.26
2021-12-31,49.91,$5.10,9.79
2021-09-30,52.39,$4.98,10.52
2021-06-30,49.83,$4.67,10.67
2021-03-31,48.03,$3.80,12.64
2020-12-31,40.15,$3.07,13.08
2020-09-30,30.62,$3.02,10.14
2020-06-30,31.08,$3.18,9.77
2020-03-31,28.74,$3.86,7.45
2019-12-31,48.9,$4.14,11.81
2019-09-30,45.32,$4.34,10.44
2019-06-30,42.59,$4.25,10.02
2019-03-31,38.89,$4.18,9.3
2018-12-31,36.6,$4.14,8.84
2018-09-30,41.95,$4.01,10.46
2018-06-30,39.46,$3.83,10.3
2018-03-31,39.6,$3.66,10.82
2017-12-31,41.76,$3.52,11.86
2017-09-30,41.54,$3.37,12.33
2017-06-30,40.02,$3.33,12.02
2017-03-31,39.48,$3.31,11.93
2016-12-31,39.17,$3.25,12.05
2016-09-30,32.53,$3.23,10.07
2016-06-30,30.39,$3.20,9.5
2016-03-31,30.39,$3.17,9.59
2015-12-31,31.74,$3.17,10.01
2015-09-30,30.33,$3.16,9.6
2015-06-30,31.9,$3.13,10.19
2015-03-31,31.91,$3.11,10.26
2014-12-31,32.66,$3.08,10.6
2014-09-30,30.23,$3.05,9.91
2014-06-30,31.13,$3.03,10.27
2014-03-31,30.62,$3.01,10.17
2013-12-31,28.71,$3.01,9.54
2013-09-30,25.85,$2.97,8.7
2013-06-30,25.38,$2.95,8.6
2013-03-31,23.67,$2.90,8.16
2012-12-31,22.16,$2.84,7.8
2012-09-30,23.65,$2.81,8.42
2012-06-30,22.05,$2.71,8.14
2012-03-31,21.58,$2.60,8.3
2011-12-31,18.32,$2.45,7.48
2011-09-30,15.87,$2.25,7.05
2011-06-30,17.1,$2.06,8.3
2011-03-31,17.63,$1.91,9.23
2010-12-31,17.91,$1.73,10.35
2010-09-30,14.33,$1.54,9.3
2010-06-30,14.78,$1.39,10.63
2010-03-31,17.07,$1.06,16.11
2009-12-31,14.82,$0.96,15.44
