CNO Financial PE Ratio Historical Data,CNO Financial PE Ratio Historical Data,CNO Financial PE Ratio Historical Data,CNO Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.51,,9.48
2024-06-30,27.58,$3.85,7.16
2024-03-31,27.19,$3.43,7.93
2023-12-31,27.45,$2.41,11.39
2023-09-30,23.21,$2.46,9.44
2023-06-30,23.0,$1.91,12.04
2023-03-31,21.43,$2.43,8.82
2022-12-31,21.94,$3.37,6.51
2022-09-30,17.15,$3.93,4.36
2022-06-30,17.13,$3.79,4.52
2022-03-31,23.59,$3.21,7.35
2021-12-31,22.29,$3.36,6.63
2021-09-30,21.89,$3.23,6.78
2021-06-30,21.84,$3.37,6.48
2021-03-31,22.35,$3.36,6.65
2020-12-31,20.36,$2.13,9.56
2020-09-30,14.61,$3.17,4.61
2020-06-30,14.08,$2.53,5.57
2020-03-31,11.13,$2.20,5.06
2019-12-31,16.16,$2.67,6.05
2019-09-30,14.02,$1.00,14.02
2019-06-30,14.67,$-2.49,0.0
2019-03-31,14.13,$-2.12,0.0
2018-12-31,12.92,$-1.94,0.0
2018-09-30,18.2,$-2.53,0.0
2018-06-30,16.25,$1.28,12.7
2018-03-31,18.41,$1.15,16.01
2017-12-31,20.89,$1.01,20.68
2017-09-30,19.67,$2.77,7.1
2017-06-30,17.53,$2.29,7.65
2017-03-31,17.13,$2.14,8.01
2016-12-31,15.94,$2.03,7.85
2016-09-30,12.66,$1.42,8.91
2016-06-30,14.4,$1.49,9.66
2016-03-31,14.72,$1.40,10.51
2015-12-31,15.62,$1.41,11.08
2015-09-30,15.34,$1.09,14.07
2015-06-30,14.9,$1.45,10.28
2015-03-31,13.93,$1.56,8.93
2014-12-31,13.88,$0.27,51.41
2014-09-30,13.62,$0.33,41.28
2014-06-30,14.25,$1.02,13.97
2014-03-31,14.44,$1.01,14.3
2013-12-31,14.07,$2.09,6.73
2013-09-30,11.43,$2.03,5.63
2013-06-30,10.27,$0.78,13.16
2013-03-31,9.05,$0.68,13.31
2012-12-31,7.36,$0.84,8.76
2012-09-30,7.6,$0.69,11.01
2012-06-30,6.13,$1.37,4.47
2012-03-31,6.09,$1.34,4.55
2011-12-31,4.94,$1.32,3.74
2011-09-30,4.24,$1.62,2.62
2011-06-30,6.19,$1.13,5.48
2011-03-31,5.88,$1.04,5.65
2010-12-31,5.31,$0.98,5.42
2010-09-30,4.34,$0.51,8.51
2010-06-30,3.88,$0.42,9.23
2010-03-31,4.87,$0.45,10.82
2009-12-31,3.92,$0.45,8.7
