First Busey PE Ratio Historical Data,First Busey PE Ratio Historical Data,First Busey PE Ratio Historical Data,First Busey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.25,,13.6
2024-06-30,24.0,$1.93,12.43
2024-03-31,23.58,$1.98,11.91
2023-12-31,24.08,$2.17,11.1
2023-09-30,18.42,$2.32,7.94
2023-06-30,19.06,$2.42,7.88
2023-03-31,19.05,$2.43,7.84
2022-12-31,22.92,$2.29,10.01
2022-09-30,20.18,$2.21,9.13
2022-06-30,20.78,$2.03,10.24
2022-03-31,22.83,$2.03,11.25
2021-12-31,24.23,$2.21,10.96
2021-09-30,21.81,$2.20,9.91
2021-06-30,21.62,$2.30,9.4
2021-03-31,22.28,$2.24,9.95
2020-12-31,18.53,$1.83,10.13
2020-09-30,13.5,$1.83,7.38
2020-06-30,15.65,$1.72,9.1
2020-03-31,14.17,$1.68,8.43
2019-12-31,22.59,$1.88,12.02
2019-09-30,20.59,$1.87,11.01
2019-06-30,21.34,$1.97,10.83
2019-03-31,19.56,$2.05,9.54
2018-12-31,19.51,$2.02,9.66
2018-09-30,24.52,$1.76,13.93
2018-06-30,24.89,$1.62,15.37
2018-03-31,23.17,$1.54,15.05
2017-12-31,23.2,$1.48,15.67
2017-09-30,24.16,$1.53,15.79
2017-06-30,22.45,$1.52,14.77
2017-03-31,22.37,$1.44,15.53
2016-12-31,23.28,$1.41,16.51
2016-09-30,16.97,$1.47,11.54
2016-06-30,15.94,$1.43,11.15
2016-03-31,15.14,$1.41,10.74
2015-12-31,15.12,$1.32,11.45
2015-09-30,14.43,$1.20,12.03
2015-06-30,14.21,$1.14,12.47
2015-03-31,14.36,$1.08,13.3
2014-12-31,13.86,$1.08,12.83
2014-09-30,11.76,$1.05,11.2
2014-06-30,12.16,$0.99,12.28
2014-03-31,12.03,$0.96,12.53
2013-12-31,11.95,$0.87,13.73
2013-09-30,10.65,$0.81,13.15
2013-06-30,9.12,$0.72,12.67
2013-03-31,9.18,$0.63,14.57
2012-12-31,9.34,$0.69,13.54
2012-09-30,9.56,$0.69,13.86
2012-06-30,9.37,$0.78,12.01
2012-03-31,9.5,$0.84,11.31
2011-12-31,9.56,$0.87,10.99
2011-09-30,8.25,$0.99,8.33
2011-06-30,9.96,$0.96,10.37
2011-03-31,9.49,$0.96,9.88
2010-12-31,8.71,$0.81,10.75
2010-09-30,8.36,$-0.93,0.0
2010-06-30,8.25,$-24.92,0.0
2010-03-31,7.99,$-26.84,0.0
2009-12-31,6.95,$-26.51,0.0
