Qifu Technology PE Ratio Historical Data,Qifu Technology PE Ratio Historical Data,Qifu Technology PE Ratio Historical Data,Qifu Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.03,,7.7
2024-06-30,19.34,$4.16,4.65
2024-03-31,17.52,$3.86,4.54
2023-12-31,15.04,$3.66,4.11
2023-09-30,14.6,$3.48,4.19
2023-06-30,15.89,$3.38,4.7
2023-03-31,17.69,$3.38,5.23
2022-12-31,18.56,$3.72,4.99
2022-09-30,11.58,$4.24,2.73
2022-06-30,15.44,$4.90,3.15
2022-03-31,13.31,$5.46,2.44
2021-12-31,19.83,$5.58,3.55
2021-09-30,17.34,$5.46,3.18
2021-06-30,35.7,$5.12,6.97
2021-03-31,22.19,$4.46,4.98
2020-12-31,10.06,$3.36,2.99
2020-09-30,10.19,$2.60,3.92
2020-06-30,9.14,$2.10,4.35
2020-03-31,6.83,$1.88,3.63
2019-12-31,8.34,$2.42,3.44
2019-09-30,7.59,$2.58,2.94
