Brookfield Renewable Partners PE Ratio Historical Data,Brookfield Renewable Partners PE Ratio Historical Data,Brookfield Renewable Partners PE Ratio Historical Data,Brookfield Renewable Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.89,,0.0
2024-06-30,24.42,$-0.64,0.0
2024-03-31,22.9,$-0.46,0.0
2023-12-31,25.5,$-0.32,0.0
2023-09-30,20.81,$-0.49,0.0
2023-06-30,27.86,$-0.60,0.0
2023-03-31,29.45,$-0.53,0.0
2022-12-31,23.38,$-0.60,0.0
2022-09-30,28.55,$-0.56,0.0
2022-06-30,31.48,$-0.52,0.0
2022-03-31,36.83,$-0.62,0.0
2021-12-31,31.8,$-0.70,0.0
2021-09-30,32.52,$-0.80,0.0
2021-06-30,33.73,$-0.88,0.0
2021-03-31,36.98,$-0.85,0.0
2020-12-31,37.18,$-0.57,0.0
2020-09-30,29.98,$-0.49,0.0
2020-06-30,27.08,$-0.31,0.0
2020-03-31,23.75,$-0.18,0.0
2019-12-31,25.79,$-0.13,0.0
2019-09-30,22.21,$0.21,107.53
2019-06-30,18.66,$0.20,93.35
2019-03-31,16.96,$0.16,106.08
2018-12-31,13.52,$0.09,156.09
2018-09-30,15.78,$-0.25,0.0
2018-06-30,15.44,$-0.23,0.0
2018-03-31,15.75,$-0.13,0.0
2017-12-31,17.39,$-0.12,0.0
2017-09-30,16.46,$-0.08,0.0
2017-06-30,15.48,$-0.07,0.0
2017-03-31,14.2,$-0.23,0.0
2016-12-31,13.97,$-0.15,0.0
2016-09-30,14.25,$-0.11,0.0
2016-06-30,13.6,$-0.07,0.0
2016-03-31,13.47,$0.05,288.46
2015-12-31,11.59,$0.01,0.0
2015-09-30,11.97,$0.14,85.48
2015-06-30,12.74,$0.10,127.38
2015-03-31,13.37,$0.15,87.2
2014-12-31,12.92,$0.28,46.16
2014-09-30,12.58,$0.26,48.39
2014-06-30,12.07,$0.37,32.34
2014-03-31,11.72,$0.39,30.31
2013-12-31,10.42,$0.35,30.07
2013-09-30,10.34,$0.16,64.63
2013-06-30,10.67,$-0.00,0.0
2013-03-31,11.1,$-0.09,0.0
2012-12-31,10.92,$-0.25,0.0
2012-09-30,11.13,$-0.29,0.0
