Viasat PE Ratio Historical Data,Viasat PE Ratio Historical Data,Viasat PE Ratio Historical Data,Viasat PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.56,,0.0
2024-06-30,12.7,$-8.21,0.0
2024-03-31,18.09,$-8.78,0.0
2023-12-31,27.95,$7.58,3.69
2023-09-30,18.46,$8.02,2.3
2023-06-30,41.26,$13.54,3.05
2023-03-31,33.84,$14.08,2.4
2022-12-31,31.65,$-1.87,0.0
2022-09-30,30.23,$-1.41,0.0
2022-06-30,30.63,$-0.73,0.0
2022-03-31,48.8,$-0.21,0.0
2021-12-31,44.54,$0.29,153.59
2021-09-30,55.07,$0.48,114.73
2021-06-30,49.84,$0.47,106.04
2021-03-31,48.07,$0.04,1201.75
2020-12-31,32.65,$-0.04,0.0
2020-09-30,34.39,$-0.04,0.0
2020-06-30,38.37,$-0.02,0.0
2020-03-31,35.92,$-0.01,0.0
2019-12-31,73.2,$0.00,0.0
2019-09-30,75.32,$-0.27,0.0
2019-06-30,80.82,$-0.75,0.0
2019-03-31,77.5,$-1.13,0.0
2018-12-31,58.95,$-1.51,0.0
2018-09-30,63.95,$-1.76,0.0
2018-06-30,65.72,$-1.57,0.0
2018-03-31,65.72,$-1.16,0.0
2017-12-31,74.85,$-0.71,0.0
2017-09-30,64.32,$-0.21,0.0
2017-06-30,66.2,$0.25,264.8
2017-03-31,63.82,$0.45,141.82
2016-12-31,66.22,$0.43,154.0
2016-09-30,74.65,$0.55,135.73
2016-06-30,71.4,$0.43,166.05
2016-03-31,73.48,$0.44,167.0
2015-12-31,61.01,$0.51,119.63
2015-09-30,64.29,$0.62,103.69
2015-06-30,60.26,$1.02,59.08
2015-03-31,59.61,$0.84,70.96
2014-12-31,63.03,$0.60,105.05
2014-09-30,55.12,$0.16,344.5
2014-06-30,57.96,$-0.30,0.0
2014-03-31,69.04,$-0.21,0.0
2013-12-31,62.65,$-0.09,0.0
2013-09-30,63.64,$-0.43,0.0
2013-06-30,71.46,$-0.65,0.0
2013-03-31,48.44,$-0.94,0.0
2012-12-31,38.9,$-1.15,0.0
2012-09-30,37.38,$-0.56,0.0
2012-06-30,37.77,$-0.20,0.0
2012-03-31,48.21,$0.17,283.59
2011-12-31,46.12,$0.62,74.39
2011-09-30,33.31,$0.80,41.64
2011-06-30,43.27,$0.80,54.09
2011-03-31,39.84,$0.84,47.43
2010-12-31,44.41,$0.83,53.51
2010-09-30,41.11,$0.62,66.31
2010-06-30,32.56,$0.72,45.22
2010-03-31,34.61,$0.89,38.89
2009-12-31,31.78,$1.00,31.78
