LCI Industries PE Ratio Historical Data,LCI Industries PE Ratio Historical Data,LCI Industries PE Ratio Historical Data,LCI Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,123.0,,25.79
2024-06-30,102.47,$4.77,21.48
2024-03-31,121.97,$3.68,33.14
2023-12-31,123.48,$2.53,48.81
2023-09-30,114.23,$1.94,58.88
2023-06-30,121.91,$3.32,36.72
2023-03-31,104.98,$8.07,13.01
2022-12-31,87.52,$15.49,5.65
2022-09-30,95.04,$19.39,4.9
2022-06-30,103.85,$19.48,5.33
2022-03-31,95.5,$16.09,5.94
2021-12-31,142.29,$11.31,12.58
2021-09-30,122.2,$10.01,12.21
2021-06-30,118.53,$10.22,11.6
2021-03-31,118.59,$8.07,14.7
2020-12-31,115.66,$6.26,18.48
2020-09-30,94.24,$5.48,17.2
2020-06-30,101.27,$4.20,24.11
2020-03-31,58.52,$5.57,10.51
2019-12-31,93.14,$5.83,15.98
2019-09-30,79.35,$5.49,14.45
2019-06-30,77.17,$5.40,14.29
2019-03-31,65.38,$5.37,12.18
2018-12-31,56.42,$5.85,9.64
2018-09-30,69.35,$5.73,12.1
2018-06-30,75.03,$5.66,13.26
2018-03-31,86.06,$5.39,15.97
2017-12-31,106.87,$5.24,20.4
2017-09-30,94.8,$5.61,16.9
2017-06-30,83.36,$5.54,15.05
2017-03-31,80.79,$5.46,14.8
2016-12-31,86.84,$5.20,16.7
2016-09-30,78.62,$4.80,16.38
2016-06-30,67.84,$4.31,15.74
2016-03-31,51.35,$3.65,14.07
2015-12-31,48.28,$3.02,15.99
2015-09-30,43.3,$2.86,15.14
2015-06-30,46.0,$2.80,16.43
2015-03-31,48.79,$2.72,17.94
2014-12-31,39.21,$2.57,15.26
2014-09-30,32.39,$2.54,12.75
2014-06-30,38.39,$2.52,15.24
2014-03-31,41.61,$2.42,17.19
2013-12-31,39.31,$2.11,18.63
2013-09-30,33.63,$1.86,18.08
2013-06-30,29.04,$1.67,17.39
2013-03-31,26.81,$1.52,17.64
2012-12-31,23.82,$1.65,14.43
2012-09-30,20.89,$1.62,12.9
2012-06-30,19.26,$1.44,13.37
2012-03-31,18.89,$1.41,13.39
2011-12-31,16.96,$1.34,12.66
2011-09-30,13.82,$1.30,10.63
2011-06-30,17.09,$1.41,12.12
2011-03-31,15.44,$1.35,11.44
2010-12-31,15.71,$1.26,12.47
2010-09-30,13.52,$1.25,10.81
2010-06-30,13.09,$1.22,10.73
2010-03-31,14.27,$0.91,15.68
2009-12-31,13.38,$-1.12,0.0
