Delek US Holdings PE Ratio Historical Data,Delek US Holdings PE Ratio Historical Data,Delek US Holdings PE Ratio Historical Data,Delek US Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.36,,0.0
2024-06-30,24.46,$-1.69,0.0
2024-03-31,30.1,$-1.24,0.0
2023-12-31,25.02,$0.22,113.74
2023-09-30,27.3,$1.06,25.75
2023-06-30,22.82,$-0.81,0.0
2023-03-31,21.65,$4.37,4.95
2022-12-31,25.23,$3.51,7.19
2022-09-30,25.21,$4.67,5.4
2022-06-30,23.63,$4.81,4.91
2022-03-31,19.41,$-1.34,0.0
2021-12-31,13.71,$-2.77,0.0
2021-09-30,16.44,$-6.18,0.0
2021-06-30,19.77,$-7.62,0.0
2021-03-31,19.92,$-5.34,0.0
2020-12-31,14.7,$-8.28,0.0
2020-09-30,10.18,$-3.86,0.0
2020-06-30,15.62,$-1.98,0.0
2020-03-31,13.93,$-2.16,0.0
2019-12-31,28.92,$4.02,7.19
2019-09-30,31.05,$5.06,6.14
2019-06-30,34.33,$6.41,5.36
2019-03-31,30.63,$6.30,4.86
2018-12-31,27.13,$3.97,6.83
2018-09-30,35.17,$5.05,6.97
2018-06-30,41.38,$4.31,9.6
2018-03-31,33.41,$2.81,11.89
2017-12-31,28.53,$3.96,7.21
2017-09-30,21.72,$-1.21,0.0
2017-06-30,21.33,$-2.61,0.0
2016-12-31,19.19,$-2.47,0.0
2016-09-30,13.68,$-3.70,0.0
2016-06-30,10.36,$-0.91,0.0
2016-03-31,11.82,$-0.51,0.0
2015-12-31,18.9,$0.75,25.2
2017-03-31,19.47,$0.98,19.86
2015-09-30,21.16,$1.44,14.7
2015-06-30,28.0,$2.37,11.81
2015-03-31,30.1,$2.50,12.04
2014-12-31,20.5,$3.34,6.14
2014-09-30,24.7,$2.62,9.43
2014-06-30,20.96,$1.37,15.3
2014-03-31,21.31,$1.23,17.33
2013-12-31,25.05,$1.95,12.85
2013-09-30,15.2,$3.09,4.92
2013-06-30,20.55,$4.79,4.29
2013-03-31,28.06,$5.16,5.44
2012-12-31,17.84,$4.67,3.82
2012-09-30,17.82,$3.51,5.08
2012-06-30,12.22,$3.42,3.57
2012-03-31,10.69,$3.23,3.31
2011-12-31,7.84,$2.75,2.85
2011-09-30,7.61,$1.55,4.91
2011-06-30,10.56,$-0.21,0.0
2011-03-31,9.1,$-0.89,0.0
2010-12-31,4.87,$-1.46,0.0
2010-09-30,4.76,$-0.55,0.0
2010-06-30,4.83,$-0.46,0.0
2010-03-31,4.79,$-0.26,0.0
2009-12-31,4.46,0,0.0
