Illumina PE Ratio Historical Data,Illumina PE Ratio Historical Data,Illumina PE Ratio Historical Data,Illumina PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,131.4,,0.0
2024-06-30,104.38,$-19.15,0.0
2024-03-31,133.49,$-8.15,0.0
2023-12-31,135.36,$-7.34,0.0
2023-09-30,133.45,$-7.12,0.0
2023-06-30,182.26,$-26.61,0.0
2023-03-31,226.07,$-28.53,0.0
2022-12-31,196.56,$-28.00,0.0
2022-09-30,185.47,$-26.40,0.0
2022-06-30,179.22,$-0.06,0.0
2022-03-31,339.66,$4.60,73.84
2021-12-31,369.83,$5.05,73.23
2021-09-30,394.3,$6.09,64.75
2021-06-30,460.01,$5.22,88.13
2021-03-31,373.35,$4.28,87.23
2020-12-31,359.68,$4.45,80.83
2020-09-30,300.46,$4.31,69.71
2020-06-30,360.02,$4.68,76.93
2020-03-31,265.5,$6.35,41.81
2019-12-31,322.49,$6.75,47.78
2019-09-30,295.74,$6.55,45.15
2019-06-30,357.88,$6.30,56.81
2019-03-31,302.03,$5.72,52.8
2018-12-31,291.57,$5.56,52.44
2018-09-30,356.82,$4.61,77.4
2018-06-30,271.5,$4.39,61.85
2018-03-31,229.83,$3.85,59.7
2017-12-31,212.4,$4.96,42.82
2017-09-30,193.65,$5.34,36.26
2017-06-30,168.68,$5.10,33.07
2017-03-31,165.88,$5.05,32.85
2016-12-31,124.47,$3.13,39.77
2016-09-30,176.59,$2.99,59.06
2016-06-30,136.47,$2.91,46.9
2016-03-31,157.59,$2.78,56.69
2015-12-31,186.59,$3.10,60.19
2015-09-30,171.09,$3.43,49.88
2015-06-30,212.27,$3.27,64.91
2015-03-31,180.46,$2.89,62.44
2014-12-31,179.43,$2.53,70.92
2014-09-30,159.35,$1.72,92.64
2014-06-30,173.56,$1.35,128.56
2013-12-31,107.51,$0.86,125.01
2013-09-30,78.58,$0.83,94.67
2013-06-30,72.75,$1.01,72.03
2013-03-31,52.47,$0.97,54.1
2012-12-31,54.04,$1.33,40.63
2014-03-31,144.51,$1.00,144.51
2012-09-30,46.85,$0.69,67.89
2012-06-30,39.26,$0.62,63.33
2012-03-31,51.14,$0.66,77.49
2011-12-31,29.63,$0.62,47.79
2011-09-30,39.78,$0.78,51.0
2011-06-30,73.05,$0.87,83.97
2011-03-31,68.12,$0.86,79.2
2010-12-31,61.57,$0.86,71.6
2010-09-30,47.83,$0.70,68.33
2010-06-30,42.32,$0.58,72.96
2010-03-31,37.82,$0.55,68.75
2009-12-31,29.82,$0.53,56.27
