Dorchester Minerals PE Ratio Historical Data,Dorchester Minerals PE Ratio Historical Data,Dorchester Minerals PE Ratio Historical Data,Dorchester Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.85,,12.06
2024-06-30,30.15,$2.64,11.42
2024-03-31,32.19,$2.57,12.53
2023-12-31,29.47,$2.84,10.38
2023-09-30,26.12,$2.65,9.86
2023-06-30,26.36,$2.80,9.41
2023-03-31,25.79,$3.26,7.91
2022-12-31,24.76,$3.35,7.39
2022-09-30,19.85,$3.30,6.01
2022-06-30,18.33,$2.91,6.3
2022-03-31,19.39,$2.41,8.04
2021-12-31,14.38,$1.94,7.41
2021-09-30,13.57,$1.46,9.3
2021-06-30,11.59,$1.13,10.26
2021-03-31,9.21,$0.70,13.15
2020-12-31,7.21,$0.62,11.63
2020-09-30,6.61,$0.79,8.37
2020-06-30,8.01,$0.98,8.18
2020-03-31,5.6,$1.33,4.21
2019-12-31,11.47,$1.50,7.65
2019-09-30,10.67,$1.67,6.39
2019-06-30,10.19,$1.59,6.41
2019-03-31,9.92,$1.70,5.84
2018-12-31,7.72,$1.61,4.79
2018-09-30,10.75,$1.52,7.07
2018-06-30,10.55,$1.47,7.18
2018-03-31,8.06,$1.24,6.5
2017-12-31,7.43,$1.18,6.29
2017-09-30,7.21,$0.96,7.51
2017-06-30,6.78,$0.95,7.14
2017-03-31,7.93,$0.88,9.01
2016-12-31,7.98,$0.66,12.09
2016-09-30,6.89,$0.54,12.77
2016-06-30,6.34,$0.41,15.46
2016-03-31,4.96,$0.34,14.57
2015-12-31,4.22,$0.42,10.05
2015-09-30,6.09,$0.60,10.15
2015-06-30,8.92,$0.87,10.25
2015-03-31,9.36,$1.14,8.21
2014-12-31,10.32,$1.42,7.26
2014-09-30,11.75,$1.56,7.53
2014-06-30,11.96,$1.55,7.71
2014-03-31,10.07,$1.54,6.54
2013-12-31,9.81,$1.37,7.16
2013-09-30,8.85,$1.40,6.32
2013-06-30,8.93,$1.32,6.76
2013-03-31,8.3,$1.21,6.86
2012-12-31,7.13,$1.20,5.94
2012-09-30,7.62,$1.18,6.46
2012-06-30,7.44,$1.28,5.81
2012-03-31,8.7,$1.32,6.59
2011-12-31,7.36,$1.33,5.53
2011-09-30,7.58,$1.18,6.43
2011-06-30,8.45,$1.07,7.9
2011-03-31,9.05,$1.05,8.62
2010-12-31,8.39,$1.10,7.63
2010-06-30,7.54,$0.97,7.78
2010-03-31,6.15,$0.88,6.99
2009-12-31,6.09,$0.72,8.46
2009-09-30,6.39,$0.73,8.75
