ChampionX PE Ratio Historical Data,ChampionX PE Ratio Historical Data,ChampionX PE Ratio Historical Data,ChampionX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.18,,19.13
2024-06-30,33.02,$1.63,20.26
2024-03-31,35.59,$1.84,19.34
2023-12-31,28.88,$1.57,18.39
2023-09-30,35.13,$1.51,23.26
2023-06-30,30.53,$1.23,24.82
2023-03-31,26.6,$0.88,30.23
2022-12-31,28.35,$0.75,37.8
2022-09-30,19.07,$0.63,30.27
2022-06-30,19.34,$0.79,24.49
2022-03-31,23.69,$0.69,34.33
2021-12-31,19.56,$0.54,36.22
2021-09-30,21.64,$0.37,58.48
2021-06-30,24.82,$0.06,413.71
2021-03-31,21.03,$-0.92,0.0
2020-12-31,14.81,$-9.46,0.0
2020-09-30,7.73,$-9.52,0.0
2020-06-30,9.45,$-9.30,0.0
2020-03-31,5.56,$-8.04,0.0
2019-12-31,32.69,$0.76,43.01
2019-09-30,26.18,$1.07,24.46
2019-06-30,32.46,$1.22,26.6
2019-03-31,39.74,$1.20,33.11
