Transcat PE Ratio Historical Data,Transcat PE Ratio Historical Data,Transcat PE Ratio Historical Data,Transcat PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,130.58,,77.27
2024-06-30,119.68,$1.69,70.82
2024-03-31,111.43,$1.59,70.08
2023-12-31,109.33,$1.30,84.1
2023-09-30,97.97,$1.13,86.7
2023-06-30,85.31,$1.38,61.82
2023-03-31,89.39,$1.40,63.85
2022-12-31,70.87,$1.32,53.69
2022-09-30,75.69,$1.32,57.34
2022-06-30,56.81,$1.41,40.29
2022-03-31,81.14,$1.50,54.09
2021-12-31,92.43,$1.52,60.81
2021-09-30,64.48,$1.54,41.87
2021-06-30,56.51,$1.41,40.08
2021-03-31,49.08,$1.03,47.65
2020-12-31,34.68,$0.94,36.89
2020-09-30,29.3,$0.91,32.2
2020-06-30,25.86,$0.96,26.94
2020-03-31,26.5,$1.08,24.54
2019-12-31,31.86,$1.10,28.96
2019-09-30,25.61,$1.11,23.07
2019-06-30,25.59,$0.99,25.85
2019-03-31,22.98,$0.95,24.19
2018-12-31,19.02,$0.93,20.45
2018-09-30,22.85,$0.97,23.56
2018-06-30,18.9,$0.88,21.48
2018-03-31,15.65,$0.81,19.32
2017-12-31,14.25,$0.68,20.96
2017-09-30,13.55,$0.61,22.21
2017-06-30,12.15,$0.62,19.6
2017-03-31,12.7,$0.62,20.48
2016-12-31,10.8,$0.64,16.88
2016-09-30,10.94,$0.61,17.93
2016-06-30,10.05,$0.61,16.48
2016-03-31,10.14,$0.57,17.79
2015-12-31,9.94,$0.62,16.03
2015-09-30,9.75,$0.58,16.81
2015-06-30,9.45,$0.58,16.29
2015-03-31,9.76,$0.56,17.43
2014-12-31,10.22,$0.53,19.28
2014-09-30,9.15,$0.53,17.26
2014-06-30,10.26,$0.51,20.12
2014-03-31,9.37,$0.54,17.35
2013-12-31,7.99,$0.54,14.8
2013-09-30,7.84,$0.53,14.79
2013-06-30,6.8,$0.53,12.83
2013-03-31,6.36,$0.49,12.98
2012-12-31,5.93,$0.41,14.46
2012-09-30,5.32,$0.44,12.09
2012-06-30,6.23,$0.44,14.16
2012-03-31,13.11,$0.43,30.49
2011-12-31,11.5,$0.41,28.05
2011-09-30,11.45,$0.40,28.63
2011-06-30,10.96,$0.37,29.62
2011-03-31,8.35,$0.37,22.57
2010-12-31,8.75,$0.35,25.0
2010-09-30,7.39,$0.29,25.48
2010-06-30,7.5,$0.21,35.71
2010-03-31,7.45,$0.24,31.04
2009-12-31,7.75,$0.14,55.36
