Aon PE Ratio Historical Data,Aon PE Ratio Historical Data,Aon PE Ratio Historical Data,Aon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,343.72,,27.48
2024-06-30,293.58,$12.51,23.47
2024-03-31,333.72,$12.76,26.15
2023-12-31,291.02,$12.48,23.32
2023-09-30,324.22,$13.15,24.66
2023-06-30,345.2,$12.84,26.88
2023-03-31,315.29,$12.46,25.3
2022-12-31,300.14,$12.12,24.76
2022-09-30,267.87,$12.88,20.8
2022-06-30,269.16,$6.97,38.62
2022-03-31,324.37,$6.30,51.49
2021-12-31,298.85,$5.57,53.65
2021-09-30,283.69,$3.94,72.0
2021-06-30,236.56,$9.11,25.97
2021-03-31,227.53,$9.15,24.87
2020-12-31,208.43,$8.44,24.7
2020-09-30,203.02,$7.75,26.2
2020-06-30,189.13,$7.50,25.22
2020-03-31,161.65,$6.94,23.29
2019-12-31,203.61,$6.35,32.06
2019-09-30,188.79,$6.18,30.55
2019-06-30,187.78,$5.85,32.1
2019-03-31,165.69,$4.90,33.82
2018-12-31,140.74,$4.57,30.8
2018-09-30,148.51,$3.09,48.06
2018-06-30,132.1,$3.21,41.15
2018-03-31,134.76,$5.95,22.65
2017-12-31,128.36,$4.67,27.49
2017-09-30,139.6,$6.61,21.12
2017-06-30,126.71,$7.03,18.02
2017-03-31,112.78,$5.11,22.07
2016-12-31,105.66,$5.17,20.44
2016-09-30,106.26,$5.39,19.71
2016-06-30,102.87,$5.29,19.45
2016-03-31,98.06,$4.90,20.01
2015-12-31,86.26,$4.89,17.64
2015-09-30,82.63,$4.36,18.95
2015-06-30,92.69,$4.36,21.26
2015-03-31,89.1,$4.75,18.76
2014-12-31,87.67,$4.67,18.77
2014-09-30,80.8,$4.25,19.01
2014-06-30,82.79,$4.03,20.54
2014-03-31,77.23,$3.78,20.43
2013-12-31,76.7,$3.54,21.67
2013-09-30,67.91,$3.33,20.39
2013-06-30,58.56,$3.13,18.71
2013-03-31,55.8,$3.10,18.0
2012-12-31,50.32,$2.99,16.83
2012-09-30,47.18,$2.88,16.38
2012-06-30,42.07,$2.85,14.76
2012-03-31,43.99,$2.87,15.33
2011-12-31,41.83,$2.87,14.58
2011-09-30,37.41,$2.72,13.75
2011-06-30,45.57,$1.62,28.13
2011-03-31,46.92,$1.41,33.27
2010-12-31,40.62,$1.33,30.54
2010-09-30,34.4,$1.35,25.48
2010-06-30,32.52,$2.27,14.33
2010-03-31,37.29,$2.25,16.57
2009-12-31,33.35,$2.59,12.88
