CoreCivic PE Ratio Historical Data,CoreCivic PE Ratio Historical Data,CoreCivic PE Ratio Historical Data,CoreCivic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.94,,23.23
2024-06-30,12.98,$0.60,21.63
2024-03-31,15.61,$0.56,27.88
2023-12-31,14.53,$0.59,24.63
2023-09-30,11.25,$0.57,19.74
2023-06-30,9.41,$1.03,9.14
2023-03-31,9.2,$0.99,9.29
2022-12-31,11.56,$1.04,11.12
2022-09-30,8.84,$1.06,8.34
2022-06-30,11.11,$0.73,15.22
2022-03-31,11.17,$0.77,14.51
2021-12-31,9.97,$-0.44,0.0
2021-09-30,8.9,$-0.89,0.0
2021-06-30,10.47,$-0.92,0.0
2021-03-31,9.05,$-0.87,0.0
2020-12-31,6.55,$0.45,14.56
2020-09-30,8.0,$1.02,7.84
2020-06-30,9.36,$1.21,7.74
2020-03-31,11.17,$1.44,7.76
2019-12-31,16.28,$1.58,10.3
2019-09-30,16.18,$1.58,10.24
2019-06-30,18.96,$1.51,12.56
2019-03-31,17.39,$1.43,12.16
2018-12-31,15.59,$1.34,11.64
2018-09-30,21.28,$1.34,15.88
2018-06-30,20.53,$1.35,15.21
2018-03-31,16.48,$1.40,11.77
2017-12-31,18.58,$1.50,12.39
2017-09-30,21.71,$1.67,13.0
2017-06-30,22.02,$1.79,12.3
2017-03-31,24.7,$1.90,13.0
2016-12-31,18.98,$1.87,10.15
2016-09-30,10.58,$1.76,6.01
2016-06-30,25.71,$1.78,14.44
2016-03-31,23.17,$1.54,15.04
2015-12-31,18.83,$1.64,11.48
2015-03-31,27.1,$1.71,15.85
2014-12-31,24.14,$1.66,14.54
2014-09-30,22.51,$1.82,12.37
2014-06-30,21.21,$1.76,12.05
2014-03-31,19.91,$1.72,11.58
2013-12-31,20.06,$1.47,13.65
2015-09-30,20.58,$2.84,7.25
2013-09-30,21.3,$2.86,7.45
2013-06-30,20.29,$2.84,7.15
2013-03-31,19.27,$3.02,6.38
2012-12-31,17.49,$1.56,11.21
2012-09-30,16.4,$1.52,10.79
2012-06-30,14.36,$1.47,9.77
2012-03-31,13.21,$1.49,8.87
2011-12-31,9.85,$1.54,6.4
2011-09-30,10.98,$1.52,7.22
2011-06-30,10.47,$1.53,6.85
2011-03-31,11.8,$1.46,8.09
2010-12-31,12.12,$1.39,8.72
2010-09-30,11.94,$1.36,8.78
2010-06-30,9.23,$1.37,6.74
2010-03-31,9.61,$1.34,7.17
2009-12-31,11.88,$1.59,7.47
2009-09-30,10.96,$1.51,7.26
