Republic Bancorp PE Ratio Historical Data,Republic Bancorp PE Ratio Historical Data,Republic Bancorp PE Ratio Historical Data,Republic Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.75,,13.58
2024-06-30,53.28,$4.99,10.68
2024-03-31,50.26,$4.76,10.56
2023-12-31,53.91,$4.60,11.72
2023-09-30,42.75,$4.53,9.44
2023-06-30,40.9,$4.42,9.25
2023-03-31,40.5,$4.55,8.9
2022-12-31,38.71,$4.53,8.54
2022-09-30,35.93,$4.43,8.11
2022-06-30,44.89,$4.43,10.13
2022-03-31,41.49,$4.39,9.45
2021-12-31,46.59,$3.96,11.77
2021-09-30,46.15,$4.10,11.26
2021-06-30,41.77,$4.09,10.21
2021-03-31,39.84,$3.69,10.8
2020-12-31,32.23,$4.00,8.06
2020-09-30,24.97,$4.25,5.88
2020-06-30,28.74,$4.15,6.92
2020-03-31,28.76,$4.25,6.77
2019-12-31,40.4,$4.38,9.22
2019-09-30,37.3,$3.98,9.37
2019-06-30,42.46,$3.93,10.8
2019-03-31,37.95,$3.81,9.96
2018-12-31,32.66,$3.72,8.78
2018-09-30,38.64,$3.12,12.39
2018-06-30,37.79,$2.80,13.49
2018-03-31,31.77,$2.54,12.51
2017-12-31,31.35,$2.18,14.38
2017-09-30,31.89,$2.43,13.13
2017-06-30,29.1,$2.39,12.17
2017-03-31,27.86,$2.31,12.06
2016-12-31,31.84,$2.20,14.47
2016-09-30,24.89,$2.08,11.97
2016-06-30,21.97,$1.88,11.69
2016-03-31,20.38,$1.88,10.84
2015-12-31,20.68,$1.69,12.23
2015-09-30,19.07,$1.58,12.07
2015-06-30,19.8,$1.56,12.7
2015-03-31,18.91,$1.46,12.95
2014-12-31,18.76,$1.36,13.79
2014-09-30,17.84,$1.18,15.12
2014-06-30,17.72,$1.15,15.41
2014-03-31,16.75,$1.15,14.57
2013-12-31,18.05,$1.23,14.68
2013-09-30,20.12,$1.49,13.5
2013-06-30,15.9,$2.25,7.07
2013-03-31,16.3,$2.41,6.76
2012-12-31,15.1,$5.69,2.65
2012-09-30,14.76,$5.66,2.61
2012-06-30,14.86,$5.06,2.94
2012-03-31,15.85,$5.01,3.16
2011-12-31,15.08,$4.49,3.36
2011-09-30,11.58,$4.40,2.63
2011-06-30,12.9,$4.37,2.95
2011-03-31,12.53,$4.36,2.87
2010-12-31,15.16,$3.10,4.89
2010-09-30,13.4,$3.07,4.37
2010-06-30,14.11,$2.99,4.72
2010-03-31,11.79,$3.83,3.08
2009-12-31,12.8,$2.02,6.34
