Denison Mine Corp PE Ratio Historical Data,Denison Mine Corp PE Ratio Historical Data,Denison Mine Corp PE Ratio Historical Data,Denison Mine Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.23,,37.17
2024-06-30,1.99,$0.06,33.17
2024-03-31,1.95,$0.07,27.86
2023-12-31,1.77,$0.08,22.13
2023-09-30,1.65,$0.05,33.0
2023-06-30,1.25,$-0.01,0.0
2023-03-31,1.09,$-0.03,0.0
2022-12-31,1.15,$0.01,115.0
2022-09-30,1.19,$-0.00,0.0
2022-06-30,0.97,$0.04,24.33
2022-03-31,1.6,$0.06,26.67
2021-12-31,1.37,$0.01,0.0
2021-09-30,1.47,$0.02,73.5
2021-06-30,1.19,$-0.02,0.0
2021-03-31,1.09,$-0.02,0.0
2020-12-31,0.65,$-0.02,0.0
2020-09-30,0.41,$-0.02,0.0
2020-06-30,0.34,$-0.02,0.0
2020-03-31,0.25,$-0.03,0.0
2019-12-31,0.42,$-0.03,0.0
2019-09-30,0.45,$-0.05,0.0
2019-06-30,0.53,$-0.05,0.0
2019-03-31,0.52,$-0.05,0.0
2018-12-31,0.46,$-0.05,0.0
2018-06-30,0.5,$-0.04,0.0
2018-03-31,0.45,$-0.04,0.0
2017-12-31,0.55,$-0.03,0.0
2017-09-30,0.46,$-0.03,0.0
2017-06-30,0.44,$-0.01,0.0
2017-03-31,0.62,$-0.01,0.0
2016-12-31,0.51,$-0.03,0.0
2016-09-30,0.47,$-0.07,0.0
2016-06-30,0.55,$-0.12,0.0
2016-03-31,0.55,$-0.12,0.0
2015-12-31,0.5,$-0.12,0.0
2015-09-30,0.38,$-0.08,0.0
2015-06-30,0.75,$-0.05,0.0
2015-03-31,0.79,$-0.06,0.0
2014-12-31,0.93,$-0.07,0.0
2014-09-30,1.14,$-0.12,0.0
2014-06-30,1.23,$-0.21,0.0
2014-03-31,1.47,$-0.20,0.0
2013-12-31,1.2,$-0.18,0.0
2013-09-30,1.08,$-0.13,0.0
2013-06-30,1.18,$-0.06,0.0
2013-03-31,1.38,$-0.19,0.0
2012-12-31,1.25,$-0.32,0.0
2012-09-30,1.49,$-0.48,0.0
2012-06-30,1.14,$-0.41,0.0
2012-03-31,1.31,$-0.31,0.0
2011-12-31,1.07,$-0.19,0.0
2011-09-30,0.91,$-0.06,0.0
2011-06-30,1.64,$-0.13,0.0
2011-03-31,2.03,$-0.04,0.0
2010-12-31,2.92,$-0.05,0.0
2010-09-30,1.41,$-0.12,0.0
2010-06-30,1.02,$-0.36,0.0
2010-03-31,1.25,$-0.48,0.0
2009-12-31,1.08,$-0.46,0.0
2009-09-30,1.59,$-0.36,0.0
