Kaiser Aluminum PE Ratio Historical Data,Kaiser Aluminum PE Ratio Historical Data,Kaiser Aluminum PE Ratio Historical Data,Kaiser Aluminum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,73.77,,29.63
2024-06-30,87.04,$2.49,34.96
2024-03-31,87.71,$3.44,25.5
2023-12-31,69.07,$2.92,23.65
2023-09-30,72.16,$0.81,89.08
2023-06-30,68.02,$0.63,107.97
2023-03-31,69.98,$-1.38,0.0
2022-12-31,70.59,$-1.86,0.0
2022-09-30,56.45,$-0.09,0.0
2022-06-30,71.99,$-0.39,0.0
2022-03-31,85.04,$-0.93,0.0
2021-12-31,84.18,$-1.16,0.0
2021-09-30,96.94,$-0.90,0.0
2021-06-30,109.15,$-0.74,0.0
2021-03-31,97.04,$0.26,373.23
2020-12-31,86.23,$1.79,48.17
2020-09-30,46.24,$0.76,60.85
2020-06-30,62.91,$2.31,27.23
2020-03-31,58.65,$3.90,15.04
2019-12-31,93.27,$3.80,24.54
2019-09-30,82.75,$5.85,14.15
2019-06-30,81.11,$5.57,14.56
2019-03-31,86.5,$5.61,15.42
2018-12-31,73.29,$5.41,13.55
2018-09-30,89.0,$3.12,28.52
2018-06-30,84.54,$2.99,28.27
2018-03-31,81.49,$2.04,39.94
2017-12-31,85.88,$2.57,33.42
2017-09-30,82.48,$4.84,17.04
2017-06-30,70.42,$4.50,15.65
2017-03-31,63.19,$5.66,11.16
2016-12-31,61.06,$5.06,12.07
2016-09-30,67.55,$4.42,15.28
2016-06-30,70.23,$4.81,14.6
2016-03-31,65.34,$4.49,14.55
2015-12-31,64.27,$-13.80,0.0
2015-09-30,61.35,$-13.68,0.0
2015-06-30,63.22,$-14.04,0.0
2015-03-31,58.21,$-13.82,0.0
2014-12-31,53.77,$3.88,13.86
2014-09-30,57.09,$4.47,12.77
2014-06-30,54.32,$4.96,10.95
2014-03-31,52.98,$4.61,11.49
2013-12-31,51.85,$5.49,9.44
2013-09-30,52.36,$4.52,11.58
2013-06-30,45.31,$4.69,9.66
2013-03-31,47.05,$4.80,9.8
2012-12-31,44.68,$4.45,10.04
2012-09-30,42.11,$4.32,9.75
2012-06-30,37.2,$3.04,12.24
2012-03-31,33.73,$2.19,15.4
2011-12-31,32.58,$1.40,23.27
2011-09-30,31.28,$1.04,30.08
2011-06-30,38.42,$1.10,34.93
2011-03-31,34.47,$0.87,39.62
2010-12-31,34.88,$0.72,48.44
2010-09-30,29.64,$1.92,15.44
2010-06-30,23.87,$2.77,8.62
2010-03-31,26.4,$3.73,7.08
2009-12-31,28.31,$3.48,8.14
