Kohl's PE Ratio Historical Data,Kohl's PE Ratio Historical Data,Kohl's PE Ratio Historical Data,Kohl's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.03,,7.85
2024-07-31,21.11,$2.55,8.28
2024-04-30,22.82,$2.48,9.2
2024-01-31,24.08,$2.85,8.45
2023-10-31,20.64,$-1.31,0.0
2023-07-31,25.54,$-1.02,0.0
2023-04-30,19.33,$-0.43,0.0
2023-01-31,27.78,$-0.45,0.0
2022-10-31,25.26,$4.24,5.96
2022-07-31,24.15,$5.07,4.76
2022-04-30,47.45,$6.44,7.37
2022-01-31,48.5,$6.42,7.55
2021-10-31,39.23,$6.42,6.11
2021-07-31,40.88,$4.69,8.72
2021-04-30,46.99,$2.51,18.72
2021-01-31,35.15,$-1.08,0.0
2020-10-31,16.99,$-1.56,0.0
2020-07-31,15.19,$-0.70,0.0
2020-04-30,14.73,$0.51,28.88
2020-01-31,32.75,$4.39,7.46
2019-10-31,38.73,$4.34,8.92
2019-07-31,40.17,$4.54,8.85
2019-04-30,52.3,$4.79,10.92
2019-01-31,50.04,$4.86,10.3
2018-10-31,54.64,$6.00,9.11
2018-07-31,52.89,$5.72,9.25
2018-04-30,44.14,$5.20,8.49
2018-01-31,45.59,$5.14,8.87
2017-10-31,29.06,$3.77,7.71
2017-07-31,28.39,$3.90,7.28
2017-04-30,26.41,$3.43,7.7
2017-01-31,26.58,$3.13,8.49
2016-10-31,28.93,$3.27,8.85
2016-07-31,27.19,$3.07,8.86
2016-04-30,28.58,$2.96,9.66
2016-01-31,31.77,$4.70,6.76
2015-10-31,29.17,$3.82,7.64
2015-07-31,38.45,$4.32,8.9
2015-01-31,36.95,$4.26,8.67
2014-10-31,33.32,$3.99,8.35
2014-07-31,32.68,$3.92,8.34
2014-04-30,33.2,$3.60,9.22
2014-01-31,30.47,$4.04,7.54
2015-04-30,44.6,$3.14,14.2
2013-10-31,33.96,$4.17,8.14
2013-07-31,31.47,$4.27,7.37
2013-04-30,27.77,$4.23,6.56
2013-01-31,27.11,$4.20,6.45
2012-10-31,30.98,$4.35,7.12
2012-07-31,28.73,$4.24,6.78
2012-04-30,28.76,$4.33,6.64
2012-01-31,26.21,$4.43,5.92
2011-10-31,30.06,$4.28,7.02
2011-07-31,30.85,$4.11,7.51
2011-04-30,29.58,$3.86,7.66
2011-01-31,28.36,$3.77,7.52
2010-10-31,28.61,$3.51,8.15
2010-07-31,26.63,$3.51,7.59
2010-04-30,30.71,$3.42,8.98
2010-01-31,28.13,$3.23,8.71
2009-10-31,31.96,$2.93,10.91
