Merchants Bancorp PE Ratio Historical Data,Merchants Bancorp PE Ratio Historical Data,Merchants Bancorp PE Ratio Historical Data,Merchants Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.06,,6.88
2024-06-30,40.46,$6.55,6.18
2024-03-31,42.99,$6.37,6.75
2023-12-31,42.3,$5.64,7.5
2023-09-30,27.48,$5.18,5.31
2023-06-30,25.29,$4.72,5.36
2023-03-31,25.67,$4.52,5.68
2022-12-31,23.9,$4.47,5.35
2022-09-30,22.61,$5.06,4.47
2022-06-30,22.15,$5.06,4.38
2022-03-31,26.68,$5.00,5.33
2021-12-31,30.67,$5.33,5.75
2021-09-30,25.52,$4.92,5.19
2021-06-30,25.31,$4.89,5.17
2021-03-31,26.99,$4.71,5.73
2020-12-31,17.75,$3.85,4.61
2020-09-30,12.62,$3.17,3.99
2020-06-30,11.8,$2.37,4.97
2020-03-31,9.64,$1.73,5.58
2019-12-31,12.44,$1.58,7.88
2019-09-30,10.4,$1.33,7.8
2019-03-31,13.41,$1.28,10.47
2018-12-31,12.4,$1.39,8.95
2018-09-30,15.75,$1.53,10.27
2018-06-30,17.64,$1.51,11.71
