E.l.f Beauty PE Ratio Historical Data,E.l.f Beauty PE Ratio Historical Data,E.l.f Beauty PE Ratio Historical Data,E.l.f Beauty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.94,,51.4
2024-06-30,210.72,$2.10,100.34
2024-03-31,196.03,$2.22,88.3
2023-12-31,144.34,$2.26,63.87
2023-09-30,109.83,$2.14,51.32
2023-06-30,114.23,$1.77,64.54
2023-03-31,82.35,$1.11,74.19
2022-12-31,55.3,$0.85,65.06
2022-09-30,37.62,$0.63,59.71
2022-06-30,30.68,$0.53,57.89
2022-03-31,25.83,$0.41,63.0
2021-12-31,33.21,$0.38,87.39
2021-09-30,29.05,$0.34,85.44
2021-06-30,27.14,$0.24,113.08
2021-03-31,26.83,$0.12,223.58
2020-12-31,25.19,$0.11,229.0
2020-09-30,18.37,$0.19,96.68
2020-06-30,19.07,$0.31,61.52
2020-03-31,9.84,$0.35,28.11
2019-12-31,16.13,$-0.01,0.0
2019-09-30,17.51,$-0.17,0.0
2019-06-30,14.1,$-0.22,0.0
2019-03-31,10.6,$-0.26,0.0
2018-12-31,8.66,$0.12,72.17
2018-09-30,12.73,$0.12,106.08
2018-06-30,15.24,$0.16,95.25
2018-03-31,19.37,$0.21,92.24
2017-12-31,22.31,$0.24,92.96
2017-09-30,22.55,$0.24,93.96
2017-06-30,27.21,$0.07,388.71
