Grid Dynamics Holdings PE Ratio Historical Data,Grid Dynamics Holdings PE Ratio Historical Data,Grid Dynamics Holdings PE Ratio Historical Data,Grid Dynamics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.42,,0.0
2024-06-30,10.51,$-0.01,0.0
2024-03-31,12.29,$0.03,409.67
2023-12-31,13.33,$-0.03,0.0
2023-09-30,12.18,$-0.16,0.0
2023-06-30,9.25,$-0.27,0.0
2023-03-31,11.46,$-0.50,0.0
2022-12-31,11.22,$-0.43,0.0
2022-09-30,18.73,$-0.39,0.0
2022-06-30,16.82,$-0.30,0.0
2022-03-31,14.08,$-0.13,0.0
2021-12-31,37.97,$-0.13,0.0
2021-09-30,29.22,$-0.18,0.0
2021-06-30,15.03,$-0.19,0.0
2021-03-31,15.93,$-0.20,0.0
2020-12-31,12.6,$-0.25,0.0
2020-09-30,7.73,$-0.15,0.0
2020-06-30,6.9,$-0.13,0.0
2020-03-31,8.0,$-0.04,0.0
2019-12-31,10.85,$0.09,120.56
2019-09-30,10.11,$0.09,112.33
