Diodes PE Ratio Historical Data,Diodes PE Ratio Historical Data,Diodes PE Ratio Historical Data,Diodes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.94,,31.37
2024-06-30,71.93,$2.07,34.75
2024-03-31,70.5,$3.67,19.21
2023-12-31,80.52,$4.91,16.4
2023-09-30,78.84,$6.36,12.4
2023-06-30,92.49,$7.19,12.86
2023-03-31,92.76,$7.17,12.94
2022-12-31,76.14,$7.22,10.55
2022-09-30,64.91,$6.65,9.76
2022-06-30,64.57,$6.27,10.3
2022-03-31,86.99,$5.74,15.16
2021-12-31,109.81,$5.02,21.87
2021-09-30,90.59,$4.18,21.67
2021-06-30,79.77,$3.19,25.01
2021-03-31,79.84,$2.37,33.69
2020-12-31,70.5,$1.88,37.5
2020-09-30,56.45,$2.19,25.78
2020-06-30,50.7,$2.41,21.04
2020-03-31,40.64,$2.71,14.99
2019-12-31,56.37,$2.95,19.11
2019-09-30,40.15,$2.63,15.27
2019-06-30,36.37,$2.51,14.49
2019-03-31,34.7,$2.30,15.09
2018-12-31,32.26,$2.05,15.74
2018-09-30,33.29,$0.85,39.16
2018-06-30,34.47,$0.53,65.04
2018-03-31,30.46,$0.30,101.53
2017-12-31,28.67,$-0.05,0.0
2017-09-30,29.93,$0.60,49.88
2017-06-30,24.03,$0.52,46.21
2017-03-31,24.05,$0.38,63.29
2016-12-31,25.67,$0.32,80.22
2016-09-30,21.34,$0.30,71.13
2016-06-30,18.79,$0.15,125.27
2016-03-31,20.1,$0.34,59.12
2015-12-31,22.98,$0.61,37.67
2015-09-30,21.36,$0.94,22.72
2015-06-30,24.11,$1.28,18.84
2015-03-31,28.56,$1.33,21.47
2014-12-31,27.57,$1.31,21.05
2014-09-30,23.92,$1.10,21.75
2014-06-30,28.96,$0.98,29.55
2014-03-31,26.12,$0.80,32.65
2013-12-31,23.56,$0.55,42.84
2013-09-30,24.5,$0.51,48.04
2013-06-30,25.97,$0.41,63.34
2013-03-31,20.98,$0.37,56.7
2012-12-31,17.35,$0.51,34.02
2012-09-30,17.01,$0.49,34.71
2012-06-30,18.77,$0.52,36.1
2012-03-31,23.18,$0.76,30.5
2011-12-31,21.3,$1.08,19.72
2011-09-30,17.92,$1.53,11.71
2011-06-30,26.1,$1.78,14.66
2011-03-31,34.06,$1.77,19.24
2010-12-31,26.99,$1.68,16.07
2010-09-30,17.09,$1.48,11.55
2010-06-30,15.87,$1.18,13.45
2010-03-31,22.4,$0.74,30.27
2009-12-31,20.41,$0.15,136.07
