Canadian Natural Resources PE Ratio Historical Data,Canadian Natural Resources PE Ratio Historical Data,Canadian Natural Resources PE Ratio Historical Data,Canadian Natural Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.7,,13.73
2024-06-30,35.02,$2.60,13.47
2024-03-31,37.12,$2.51,14.79
2023-12-31,31.54,$2.77,11.39
2023-09-30,30.76,$2.39,12.9
2023-06-30,26.49,$2.55,10.41
2023-03-31,25.74,$3.23,7.97
2022-12-31,25.5,$3.67,6.95
2022-09-30,21.14,$4.03,5.25
2022-06-30,23.62,$3.81,6.2
2022-03-31,26.99,$3.17,8.53
2021-12-31,18.22,$2.59,7.05
2021-09-30,15.58,$1.97,7.91
2021-06-30,15.31,$1.36,11.26
2021-03-31,12.89,$0.74,17.53
2020-12-31,9.91,$-0.13,0.0
2020-09-30,6.51,$-0.18,0.0
2020-06-30,6.96,$0.02,348.17
2020-03-31,5.32,$1.00,5.35
2019-12-31,12.23,$1.70,7.2
2019-09-30,9.98,$1.27,7.89
2019-06-30,9.99,$1.50,6.66
2019-03-31,10.08,$0.93,10.84
2018-12-31,8.76,$0.82,10.75
2018-09-30,11.75,$1.19,9.87
2018-06-30,12.87,$0.85,15.14
2018-03-31,11.14,$0.89,12.59
2017-12-31,12.54,$0.79,15.97
2017-09-30,11.68,$0.85,13.82
2017-06-30,9.99,$0.51,19.59
2017-03-31,11.28,$0.05,250.6
2016-12-31,10.9,$-0.08,0.0
2016-09-30,10.89,$-0.22,0.0
2016-06-30,10.41,$-0.15,0.0
2016-03-31,9.06,$-0.18,0.0
2015-12-31,7.28,$-0.24,0.0
2015-09-30,6.44,$0.15,42.92
2015-06-30,8.91,$0.60,14.86
2015-03-31,10.02,$1.20,8.38
2014-12-31,10.01,$1.55,6.46
2014-09-30,12.51,$1.29,9.73
2014-06-30,14.71,$1.39,10.58
2014-03-31,12.23,$1.16,10.59
2013-12-31,10.73,$0.99,10.84
2013-09-30,9.91,$0.98,10.17
2013-06-30,8.88,$0.63,14.2
2013-03-31,10.05,$0.76,13.31
2012-12-31,8.99,$0.86,10.52
2012-09-30,9.56,$1.08,8.85
2012-06-30,8.31,$1.29,6.44
2012-03-31,10.22,$1.39,7.36
2011-12-31,11.48,$1.22,9.45
2011-09-30,8.97,$0.64,14.01
2011-06-30,12.79,$0.53,24.14
2011-03-31,15.07,$0.39,38.65
2010-12-31,13.52,$0.76,17.85
2010-09-30,10.51,$1.16,9.1
2010-06-30,10.07,$1.18,8.57
2010-03-31,11.2,$0.94,11.91
2009-12-31,10.86,$0.67,16.33
