Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,356.1,,16.22
2024-06-30,331.76,$21.96,15.11
2024-03-31,363.62,$22.15,16.42
2023-12-31,292.07,$20.14,14.5
2023-09-30,268.28,$17.65,15.2
2023-06-30,240.6,$16.07,14.97
2023-03-31,222.56,$13.53,16.45
2022-12-31,231.85,$12.65,18.33
2022-09-30,157.81,$13.77,11.46
2022-06-30,170.78,$12.50,13.66
2022-03-31,211.79,$11.93,17.75
2021-12-31,195.53,$11.84,16.51
2021-09-30,180.56,$9.35,19.31
2021-06-30,203.58,$7.97,25.54
2021-03-31,215.94,$6.25,34.55
2020-12-31,168.62,$5.46,30.88
2020-09-30,137.33,$6.01,22.85
2020-06-30,115.6,$7.45,15.52
2020-03-31,105.11,$9.44,11.13
2019-12-31,132.85,$10.71,12.4
2019-09-30,112.74,$10.52,10.72
2019-06-30,120.73,$10.74,11.24
2019-03-31,119.31,$10.73,11.12
2018-12-31,111.19,$10.22,10.88
2018-09-30,132.57,$6.26,21.18
2018-06-30,117.22,$5.15,22.76
2018-03-31,126.7,$3.68,34.43
2017-12-31,134.85,$1.26,107.02
2017-09-30,106.09,$1.44,73.67
2017-06-30,90.75,$0.15,605.02
2017-03-31,77.71,$-0.27,0.0
2016-12-31,77.05,$-0.13,0.0
2016-09-30,73.11,$1.72,42.5
2016-06-30,61.84,$1.86,33.25
2016-03-31,61.83,$2.09,29.58
2015-12-31,54.2,$3.44,15.76
2015-09-30,51.57,$4.82,10.7
2015-06-30,66.31,$5.83,11.37
2015-03-31,62.05,$6.24,9.94
2014-12-31,70.38,$5.87,11.99
2014-09-30,75.58,$6.18,12.23
2014-06-30,82.41,$6.00,13.73
2014-03-31,74.92,$5.88,12.74
2013-12-31,68.02,$5.75,11.83
2013-09-30,62.04,$5.25,11.82
2013-06-30,60.93,$6.34,9.61
2013-03-31,63.83,$7.43,8.59
2012-12-31,65.77,$8.49,7.75
2012-09-30,62.41,$9.77,6.39
2012-06-30,61.2,$8.94,6.85
2012-03-31,76.45,$7.92,9.65
2011-12-31,64.74,$7.39,8.76
2011-09-30,52.48,$6.54,8.02
2011-06-30,75.34,$6.05,12.45
2011-03-31,78.48,$5.62,13.96
2010-12-31,65.71,$4.14,15.87
2010-09-30,54.9,$3.03,18.12
2010-06-30,41.63,$2.45,16.99
2010-03-31,43.28,$1.96,22.08
2009-12-31,38.97,$1.41,27.64
