Baytex Energy Corp PE Ratio Historical Data,Baytex Energy Corp PE Ratio Historical Data,Baytex Energy Corp PE Ratio Historical Data,Baytex Energy Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.93,,0.0
2024-06-30,3.45,$-0.36,0.0
2024-03-31,3.59,$-0.18,0.0
2023-12-31,3.26,$-0.10,0.0
2023-09-30,4.31,$0.92,4.69
2023-06-30,3.18,$1.17,2.71
2023-03-31,3.65,$1.15,3.18
2022-12-31,0.51,$1.16,0.44
2022-09-30,0.51,$1.47,0.35
2022-06-30,0.51,$1.16,0.44
2022-03-31,0.51,$2.41,0.21
2021-12-31,0.51,$2.28,0.22
2021-09-30,0.51,$1.80,0.28
2021-06-30,0.51,$1.72,0.3
2021-03-31,0.51,$0.04,12.71
2020-12-31,0.51,$-3.24,0.0
2020-09-30,0.34,$-3.70,0.0
2020-06-30,0.49,$-3.65,0.0
2020-03-31,0.23,$-3.36,0.0
2019-12-31,1.41,$-0.01,0.0
2019-09-30,1.44,$-0.17,0.0
2019-06-30,1.5,$-0.14,0.0
2019-03-31,1.65,$-0.44,0.0
2018-12-31,1.71,$-0.67,0.0
2018-09-30,2.83,$0.06,47.24
2018-06-30,3.24,$-0.02,0.0
2018-03-31,2.67,$0.20,13.34
2017-12-31,2.92,$0.45,6.49
2017-09-30,2.93,$-1.20,0.0
2017-06-30,2.37,$-1.32,0.0
2017-03-31,3.33,$-1.67,0.0
2016-12-31,4.75,$-1.71,0.0
2016-09-30,4.14,$-1.94,0.0
2016-06-30,5.64,$-3.70,0.0
2016-03-31,3.87,$-3.49,0.0
2015-12-31,3.16,$-4.75,0.0
2015-09-30,3.12,$-5.00,0.0
2015-06-30,14.86,$-2.32,0.0
2015-03-31,14.86,$-1.96,0.0
2014-12-31,15.39,$-0.35,0.0
2014-09-30,34.39,$1.59,21.63
2014-06-30,41.27,$1.49,27.7
2014-03-31,36.25,$1.52,23.85
2013-12-31,33.97,$1.25,27.18
2013-09-30,35.06,$1.28,27.39
2013-06-30,30.14,$0.83,36.32
2013-03-31,34.48,$1.85,18.64
2012-12-31,35.03,$2.13,16.45
2012-09-30,37.86,$2.37,15.98
2012-06-30,33.12,$2.58,12.84
2012-03-31,40.21,$2.20,18.28
2011-12-31,42.83,$1.85,23.15
2011-09-30,31.57,$1.86,16.97
2011-06-30,40.73,$1.73,23.54
2011-03-31,43.04,$1.09,39.49
2010-12-31,34.13,$1.61,21.2
2010-09-30,26.13,$1.35,19.36
2010-06-30,21.21,$1.39,15.26
2010-03-31,23.65,$1.35,17.52
2009-12-31,19.28,$0.75,25.7
